dataset_id,source_path,source_name,identity_group,stage_label,stage_label_source,stage_label_confidence,quality_tier,background_operation,original_blur,output_blur,output_background_class,output_white_fraction,output_border_white_fraction,output_green_fraction,foreground_fraction_from_normalizer,structural_complexity_score,complexity_bin,source_sha256,output_dhash64,output_path,keypoint_labels_used,manual_keep,manual_stage_confirm,manual_note,output_sha256,split,relative_path,data_role,training_eligible,primary_evaluation_eligible,visual_review_status,visual_review_actor,user_stage_confirmation_pending,component_cleanup,components_before_cleanup,second_to_first_area_ratio_before_cleanup,output_dhash64_full_canvas,output_dhash64_foreground_crop
stagev3_0001,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\leaf3 (117).jpg,leaf3 (117).jpg,stage_archive::gt2::scanner_crop::leaf3 ,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,279.0617859319993,251.2919270833333,white_removed_candidate,0.9438107638888888,0.9986864472260856,0.023828125,0.0477322048611111,,stage_metadata,afed93e0f61bbc1a081368d3707e2039c84a3b894acd699f565587f8f8ee9047,80c04020131e68c0,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0001.png,0,,,,cd298747dbc3bc2b7fec54fe19acdcc78f2f10f9d40260495c9bff95e12b40b0,train,images\train\stagev3_0001.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,1,0.0,80c04020131e68c0,80406030011e64c0
stagev3_0005,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\28.jpg,28.jpg,stage_archive::gt2::single::28,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,79.70184143878417,240.46963612360156,white_removed_candidate,0.9725697835286459,1.0,0.0205128987630208,0.0238431294759114,,stage_metadata,d3d24255f9fbc849999b20a2a8eb32650828c5b87fcb6535133c04e2eeebacdb,8000000b1cb02040,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0005.png,0,,,,71c63b61d5aa42941c938fbb95def36f36846d4a93d414262ca65e74c1aae99e,train,images\train\stagev3_0005.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,5,0.014577944980014107,8000000b1cb02040,10191e306040c080
stagev3_0006,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\35.jpg,35.jpg,stage_archive::gt2::single::35,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,75.94312608397256,304.34302775065106,white_removed_candidate,0.9750111897786459,0.9991147036181678,0.0184224446614583,0.0249481201171875,,stage_metadata,af4e4fa0793c8bb56e789efbb2ab8f9122bd03f95be077b7e388b237435b0f8f,000000c01a0e1000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0006.png,0,,,,f277643f471604c91f41f0af1724b180b51a88704f1d6913479d175c54b62eea,train,images\train\stagev3_0006.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,3,0.2176163121668478,000000c01a0e1000,80c060300d110c08
stagev3_0007,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\39-39.jpg,39-39.jpg,stage_archive::gt2::single::39-39,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,232.318151764468,63.2475823782235,white_removed_candidate,0.956902534025788,0.9989281426856457,0.0377977256446991,0.0414110000894134,,stage_metadata,9fd476331be92c4ab38932e0ff8b1b574088a726452fd08aa500556f12a23326,080b0c1818180000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0007.png,0,,,,268fc1b41616b584cc8ef7fc67d601cbc6cd3833c54f73552ea908784bb63b40,train,images\train\stagev3_0007.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,1,0.0,080b0c1818180000,20232c3020206060
stagev3_0008,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\42-42.jpg,42-42.jpg,stage_archive::gt2::single::42-42,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,2237.05177068215,581.9661251653439,white_removed_candidate,0.927703373015873,1.0,0.0418526785714285,0.0634584780092592,,stage_metadata,04d98ecda71619ccb8175eed1b6ab6955ff34dc70bb67c42621b28a451f07e69,1c0426140404070a,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0008.png,0,,,,5a54abf009ed32e8137b03f9a5a74b20cb92a83e4fca87dfe2168e89c36eb033,train,images\train\stagev3_0008.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,3,0.02446952266169972,1c0426140404070a,361b0d310b030101
stagev3_0010,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,stage_archive::gt2::single::Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,53.98964243464999,247.86566026568312,white_removed_candidate,0.9520314534505209,1.0,0.0403900146484375,0.045667012532552,,stage_metadata,652a8d892ad27ef24d4a5af25b17de4ac366b2f1eef379f13f34b0ee17e251b0,30202020301c0701,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0010.png,0,,,,2eafd26a1965112cfff56eae4ac7fe5d7f783af3a374e962477b5aa2d81a1536,train,images\train\stagev3_0010.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,4,0.03650392443794067,30202020301c0701,10302030300c0700
stagev3_0012,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\1到2\13-13.jpg,13-13.jpg,stage_archive::leaf1_to_2::single::13-13,leaf1_to_2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,392.3185161636769,84.6293701171875,white_removed_candidate,0.95174560546875,1.0,0.033746337890625,0.0458989409466465,,stage_metadata,bb8f455eb9897d5837a74c404e5f89b8adb2da2a0d25ffeb50c1a07e2cbaa94f,0103023647060400,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0012.png,0,,,,a5e86512ae96870ad7218eee521db094148d5e34bd2d76e5c829558ca795cbdf,train,images\train\stagev3_0012.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,2,0.005775154004106776,0103023647060400,0103023264850606
stagev3_0013,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\1到2\17-17.jpg,17-17.jpg,stage_archive::leaf1_to_2::single::17-17,leaf1_to_2,archive_folder,user_metadata,A_native_white_standardized,shoot_only_standardization_native_white,234.27225634176187,128.81325916519435,white_removed_candidate,0.9705857994699647,1.0,0.0236238405477031,0.0279448440255731,,stage_metadata,2b2f9a312a4c4be44a7de3aedeb47752ef6400de485e0dcafac6b43eab02cadf,0332460704040000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0013.png,0,,,,200a2cb77cb559bfb18a7b5a82ddf305be5241abc2e3420eecb7976b0c86a144,train,images\train\stagev3_0013.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,1,0.0,0332460704040000,0103728a05070404
stagev3_0014,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\1到2\24-24.jpg,24-24.jpg,stage_archive::leaf1_to_2::single::24-24,leaf1_to_2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,481.8567563697107,133.76229087752526,white_removed_candidate,0.9366812657828283,1.0,0.0472301136363636,0.0616492069128787,,stage_metadata,7d97ae33fe7cf83d08927bb90bdc3209aba6eef22c131844e2f219ef95174e6d,101a0e0407040c00,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0014.png,0,,,,84b90d889f08f8974c51a5b1a399d0cac637bc960ab7a898b53a15528b478227,train,images\train\stagev3_0014.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,2,0.03361872594454481,101a0e0407040c00,c0701c0c0c0b0818
stagev3_0016,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\1到2\28-28.jpg,28-28.jpg,stage_archive::leaf1_to_2::single::28-28,leaf1_to_2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,344.5047833059474,94.5928208434466,white_removed_candidate,0.9503375303398058,1.0,0.042286104368932,0.0467896692961165,,stage_metadata,e0b1de591552ed78c2ace0de18044c1c47aa68a07293f794f57170a0b9a788c4,1013161810100000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0016.png,0,,,,adb72723d04371f2a7f0a952250d46b2c1cc39ee1cffcc365ebce05a2b913f71,train,images\train\stagev3_0016.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,1,0.0,1013161810100000,2021272c30202020
