dataset_id,split,new_split_role,source_frame_id,source_path,source_name,source_relative_path,split_group,acquisition_period,campaign,candidate_index,candidate_orientation,candidate_box_thumbnail,crop_box_full,normalizer_foreground_fraction,output_dhash64_foreground_crop,output_phash64_foreground_crop,nearest_legacy_id,nearest_legacy_dhash_distance,nearest_legacy_phash_distance,keypoint_labels_used,model_outputs_used_for_selection,quality_tier,background_operation,data_role,stage_label,stage_label_source,output_path,relative_path,raw_review_path,output_sha256,manual_quality_review,manual_stage_review,manual_note,quality_original_width,quality_original_height,quality_mode,quality_alpha_present,quality_transparent_fraction,quality_white_fraction,quality_border_white_fraction,quality_border_rgb_std,quality_black_fraction,quality_nonwhite_fraction,quality_strict_green_fraction,quality_green_to_nonwhite_ratio,quality_green_components,quality_green_bbox_fraction,quality_green_bbox_touches_border,quality_blur_laplacian_thumbnail,quality_background_class,quality_clean_background_score,quality_significant_green_components,quality_second_to_first_green_area_ratio,quality_secondary_to_first_green_area_ratio,quality_raw_green_pixels,quality_standardized_green_pixels,quality_green_preservation_ratio
v4_legacy_0001,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\leaf3 (117).jpg,leaf3 (117).jpg,images\train\stagev3_0001.png,legacy_v3::stage_archive::gt2::scanner_crop::leaf3 ,legacy_v3,legacy_v3,,legacy,,,0.0477322048611111,80406030011e64c0,,stagev3_0001,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0001.png,images\train\v4_legacy_0001.png,,cd298747dbc3bc2b7fec54fe19acdcc78f2f10f9d40260495c9bff95e12b40b0,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0002,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\1.jpg,1.jpg,images\test\stagev3_0002.png,legacy_v3::stage_archive::gt2::single::1,legacy_v3,legacy_v3,,legacy,,,0.0324897766113281,1018080c3f40c080,,stagev3_0002,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0002.png,images\train\v4_legacy_0002.png,,413b7633538a2fa38e25c1d08688e3fc9a6fd55e866a50685ce416095d949d3a,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0003,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\18-18.jpg,18-18.jpg,images\test\stagev3_0003.png,legacy_v3::stage_archive::gt2::single::18-18,legacy_v3,legacy_v3,,legacy,,,0.0538018534309791,6030090503020301,,stagev3_0003,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0003.png,images\train\v4_legacy_0003.png,,1d42906b23587e2a4970fd1618ae9c2d6aa35643b53634920e95d951e197ee3b,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0004,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\19-19.jpg,19-19.jpg,images\test\stagev3_0004.png,legacy_v3::stage_archive::gt2::single::19-19,legacy_v3,legacy_v3,,legacy,,,0.0633871895926339,4030180907040606,,stagev3_0004,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0004.png,images\train\v4_legacy_0004.png,,1bd31b4ada52d4b334f354886ac6b5e105a1d727f8b832256509f60b3316339a,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0005,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\28.jpg,28.jpg,images\train\stagev3_0005.png,legacy_v3::stage_archive::gt2::single::28,legacy_v3,legacy_v3,,legacy,,,0.0238431294759114,10191e306040c080,,stagev3_0005,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0005.png,images\train\v4_legacy_0005.png,,71c63b61d5aa42941c938fbb95def36f36846d4a93d414262ca65e74c1aae99e,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0006,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\35.jpg,35.jpg,images\train\stagev3_0006.png,legacy_v3::stage_archive::gt2::single::35,legacy_v3,legacy_v3,,legacy,,,0.0249481201171875,80c060300d110c08,,stagev3_0006,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0006.png,images\train\v4_legacy_0006.png,,f277643f471604c91f41f0af1724b180b51a88704f1d6913479d175c54b62eea,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0007,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\39-39.jpg,39-39.jpg,images\train\stagev3_0007.png,legacy_v3::stage_archive::gt2::single::39-39,legacy_v3,legacy_v3,,legacy,,,0.0414110000894134,20232c3020206060,,stagev3_0007,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0007.png,images\train\v4_legacy_0007.png,,268fc1b41616b584cc8ef7fc67d601cbc6cd3833c54f73552ea908784bb63b40,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0008,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\42-42.jpg,42-42.jpg,images\train\stagev3_0008.png,legacy_v3::stage_archive::gt2::single::42-42,legacy_v3,legacy_v3,,legacy,,,0.0634584780092592,361b0d310b030101,,stagev3_0008,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0008.png,images\train\v4_legacy_0008.png,,5a54abf009ed32e8137b03f9a5a74b20cb92a83e4fca87dfe2168e89c36eb033,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0009,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\44-44.jpg,44-44.jpg,images\val\stagev3_0009.png,legacy_v3::stage_archive::gt2::single::44-44,legacy_v3,legacy_v3,,legacy,,,0.0554641135014836,e01b0e0a060c0404,,stagev3_0009,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0009.png,images\train\v4_legacy_0009.png,,db1a3a69df644bfb66f639735baa0f9ac6b28ac8069bb1e9cc975c51ed0db253,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0010,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,images\train\stagev3_0010.png,legacy_v3::stage_archive::gt2::single::Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879,legacy_v3,legacy_v3,,legacy,,,0.045667012532552,10302030300c0700,,stagev3_0010,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0010.png,images\train\v4_legacy_0010.png,,2eafd26a1965112cfff56eae4ac7fe5d7f783af3a374e962477b5aa2d81a1536,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0011,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\1到2\10-10.jpg,10-10.jpg,images\test\stagev3_0011.png,legacy_v3::stage_archive::leaf1_to_2::single::10-10,legacy_v3,legacy_v3,,legacy,,,0.0846589078608247,4030190b66140604,,stagev3_0011,0,0,0,0,A_native_white_standardized,shoot_only_standardization_native_white,legacy_v3_development_train_only,leaf1_to_2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0011.png,images\train\v4_legacy_0011.png,,6bb638ce42aba73ddb3d76d69c6c7e35c69fbef3bb411efa4ea2605a667a89b6,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
v4_legacy_0012,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\1到2\13-13.jpg,13-13.jpg,images\train\stagev3_0012.png,legacy_v3::stage_archive::leaf1_to_2::single::13-13,legacy_v3,legacy_v3,,legacy,,,0.0458989409466465,0103023264850606,,stagev3_0012,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,leaf1_to_2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0012.png,images\train\v4_legacy_0012.png,,a5e86512ae96870ad7218eee521db094148d5e34bd2d76e5c829558ca795cbdf,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,
