dataset_id,split,new_split_role,source_frame_id,source_path,source_name,source_relative_path,split_group,acquisition_period,campaign,candidate_index,candidate_orientation,candidate_box_thumbnail,crop_box_full,normalizer_foreground_fraction,output_dhash64_foreground_crop,output_phash64_foreground_crop,nearest_legacy_id,nearest_legacy_dhash_distance,nearest_legacy_phash_distance,keypoint_labels_used,model_outputs_used_for_selection,quality_tier,background_operation,data_role,stage_label,stage_label_source,output_path,relative_path,raw_review_path,output_sha256,manual_quality_review,manual_stage_review,manual_note,quality_original_width,quality_original_height,quality_mode,quality_alpha_present,quality_transparent_fraction,quality_white_fraction,quality_border_white_fraction,quality_border_rgb_std,quality_black_fraction,quality_nonwhite_fraction,quality_strict_green_fraction,quality_green_to_nonwhite_ratio,quality_green_components,quality_green_bbox_fraction,quality_green_bbox_touches_border,quality_blur_laplacian_thumbnail,quality_background_class,quality_clean_background_score,quality_significant_green_components,quality_second_to_first_green_area_ratio,quality_secondary_to_first_green_area_ratio,quality_raw_green_pixels,quality_standardized_green_pixels,quality_green_preservation_ratio,source_crop_box_fullplant,shoot_only_path,shoot_mask_path,seed_base_root_mask_path,full_plant_mask_path,whole_seedling_preserved,normalization_version,shoot_fraction,root_base_fraction,fullplant_fraction,nonshoot_to_shoot_area_ratio,estimated_major_length_work,estimated_base_x_work,estimated_base_y_work,scanner_line_support_fraction,normalization_padding_pixels,fullplant_quality_original_width,fullplant_quality_original_height,fullplant_quality_mode,fullplant_quality_alpha_present,fullplant_quality_transparent_fraction,fullplant_quality_white_fraction,fullplant_quality_border_white_fraction,fullplant_quality_border_rgb_std,fullplant_quality_black_fraction,fullplant_quality_nonwhite_fraction,fullplant_quality_strict_green_fraction,fullplant_quality_green_to_nonwhite_ratio,fullplant_quality_green_components,fullplant_quality_green_bbox_fraction,fullplant_quality_green_bbox_touches_border,fullplant_quality_blur_laplacian_thumbnail,fullplant_quality_background_class,fullplant_quality_clean_background_score
v4_legacy_0001,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\leaf3 (117).jpg,leaf3 (117).jpg,images\train\stagev3_0001.png,legacy_v3::stage_archive::gt2::scanner_crop::leaf3 ,legacy_v3,legacy_v3,,legacy,,,0.0477322048611111,80406030011e64c0,,stagev3_0001,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0001.png,images\train\v4_legacy_0001.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0001.jpg,e2496d127e450335f339879b4e2d45bfb43639238e66b7d22318d3cda7be5f11,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1024, 450]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0001.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0001.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0001.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0001.png,1,v4_fullplant_classical_pixel_v2,0.056942274305555554,0.0014344618055555556,0.05911675347222222,0.02519150882274477,769.453186753276,863.7789542489941,296.5551583084083,0.38190972222222225,11,1046,472,RGB,0,0.0,0.9367982278138528,1.0,0.0,0.0,0.061130275974025976,0.02341213474025974,0.3829875518672199,4,0.3815357819264069,0,268.17894345238096,white_removed_candidate,8.266278
v4_legacy_0002,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\1.jpg,1.jpg,images\test\stagev3_0002.png,legacy_v3::stage_archive::gt2::single::1,legacy_v3,legacy_v3,,legacy,,,0.0324897766113281,1018080c3f40c080,,stagev3_0002,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0002.png,images\train\v4_legacy_0002.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0002.jpg,cdd1ce7850095e7f471a31f76e6d2837b6752aa2aef6d1f0d0fd9eda55a0764d,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1024, 768]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0002.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0002.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0002.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0002.png,1,v4_fullplant_classical_pixel_v2,0.045825958251953125,0.00093841552734375,0.046999613444010414,0.020477815699658702,945.4198958328785,1010.1715958393066,456.4812445093124,0.18693415323893228,19,1062,806,RGB,0,0.0,0.9513626687017995,0.9954329689298044,8.617166519165039,5.5229755784061694e-05,0.04675449871465295,0.025189789524421594,0.5387671821305842,4,0.2598509800771208,0,212.73822099935734,white_removed_candidate,8.849725
v4_legacy_0003,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\18-18.jpg,18-18.jpg,images\test\stagev3_0003.png,legacy_v3::stage_archive::gt2::single::18-18,legacy_v3,legacy_v3,,legacy,,,0.0538018534309791,6030090503020301,,stagev3_0003,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0003.png,images\train\v4_legacy_0003.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0003.jpg,aed006d474a3f22ceb5fb9cdf41c914ff6baf3062a19388f01df8415766e2a89,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 623, 1024]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0003.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0003.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0003.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0003.png,1,v4_fullplant_classical_pixel_v2,0.05636474217495987,0.04536704955858748,0.10185249046950241,0.8048834751654709,751.8884032720832,419.35054249678603,753.0599086678571,0.0,16,655,1056,RGB,0,0.0,0.89945705581761,1.0,0.08552811294794083,0.0,0.09136694182389937,0.04788841391509434,0.524132831406292,7,0.5014187794811321,0,244.8312819378931,white_removed_candidate,8.704852
v4_legacy_0004,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\19-19.jpg,19-19.jpg,images\test\stagev3_0004.png,legacy_v3::stage_archive::gt2::single::19-19,legacy_v3,legacy_v3,,legacy,,,0.0633871895926339,4030180907040606,,stagev3_0004,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0004.png,images\train\v4_legacy_0004.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0004.jpg,bde008bc555afd0a42619a4186608280faa3da536bea5f828b0551ed58a760e6,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 448, 1024]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0004.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0004.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0004.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0004.png,1,v4_fullplant_classical_pixel_v2,0.07811846051897321,0.0434417724609375,0.12273951939174108,0.5561012361525798,801.8468681710466,323.83051632841074,859.5111826700372,0.0027640206473214285,11,470,1046,RGB,0,0.0,0.8763417119565218,0.9979281767955801,1.1907658576965332,0.0,0.10993546195652174,0.058016304347826085,0.5277305731500077,5,0.6328125,0,305.3078125,white_removed_candidate,8.666524
v4_legacy_0005,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\28.jpg,28.jpg,images\train\stagev3_0005.png,legacy_v3::stage_archive::gt2::single::28,legacy_v3,legacy_v3,,legacy,,,0.0238431294759114,10191e306040c080,,stagev3_0005,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0005.png,images\train\v4_legacy_0005.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0005.jpg,91a62d2f1f07f34fb43a3395f019909775327ad9a9cfdba4d17c5e5b73438d27,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1024, 768]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0005.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0005.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0005.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0005.png,1,v4_fullplant_classical_pixel_v2,0.041378021240234375,0.0001983642578125,0.04191716512044271,0.00479395224486033,892.7522889439065,967.4486867990043,240.32487726657308,0.9895464579264323,19,1062,806,RGB,0,0.0,0.9568806233933161,1.0,0.0,0.00015564749357326477,0.041869175771208224,0.027213206940874035,0.6499580285405924,2,0.42882892834190234,0,196.76912957904884,white_removed_candidate,8.911686
v4_legacy_0006,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\35.jpg,35.jpg,images\train\stagev3_0006.png,legacy_v3::stage_archive::gt2::single::35,legacy_v3,legacy_v3,,legacy,,,0.0249481201171875,80c060300d110c08,,stagev3_0006,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0006.png,images\train\v4_legacy_0006.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0006.jpg,118dc3aabd215a5cc636f453609217ff8402b397dac72f558049a5a4c10b9efe,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1024, 768]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0006.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0006.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0006.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0006.png,1,v4_fullplant_classical_pixel_v2,0.041286468505859375,0.0002733866373697917,0.04179509480794271,0.0066217006991284,984.9297191107016,994.69013555676,549.0041713178808,0.9926643371582031,19,1062,806,RGB,0,0.0,0.9553643155526992,0.9978783084004603,4.539204120635986,0.0001757310411311054,0.043094272172236506,0.021097766709511568,0.4895724105790516,5,0.308844794344473,0,272.6922095919023,white_removed_candidate,8.683345
v4_legacy_0007,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\39-39.jpg,39-39.jpg,images\train\stagev3_0007.png,legacy_v3::stage_archive::gt2::single::39-39,legacy_v3,legacy_v3,,legacy,,,0.0414110000894134,20232c3020206060,,stagev3_0007,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0007.png,images\train\v4_legacy_0007.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0007.jpg,8f6cbea361be60d408fa2eea1fd2920a20c8296147d0a324e8bb2cf1ce2d40df,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 699, 1024]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0007.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0007.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0007.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0007.png,1,v4_fullplant_classical_pixel_v2,0.04208858637339056,0.02080120037553648,0.06310773202789699,0.49422425811591314,717.7244605081106,205.95719180398365,686.7803910641941,0.0,17,733,1058,RGB,0,0.0,0.9379181338028169,1.0,0.0,0.0,0.05624449823943662,0.0354368397887324,0.6300498875085592,2,0.4409220950704225,0,116.95377420774648,white_removed_candidate,8.875836
v4_legacy_0008,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\42-42.jpg,42-42.jpg,images\train\stagev3_0008.png,legacy_v3::stage_archive::gt2::single::42-42,legacy_v3,legacy_v3,,legacy,,,0.0634584780092592,361b0d310b030101,,stagev3_0008,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0008.png,images\train\v4_legacy_0008.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0008.jpg,61d768dbfb403c87d52636ca383e41e343672ba383b6b8bdeb50f37e364911da,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 378, 1024]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0008.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0008.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0008.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0008.png,1,v4_fullplant_classical_pixel_v2,0.08313698743386243,0.006202980324074074,0.090311363260582,0.07461155997513984,846.0712930074424,239.86933435481936,900.5447546489075,0.6410719452711641,9,396,1042,RGB,0,0.0,0.8993890224358975,1.0,0.0,0.0,0.09684495192307692,0.04346955128205128,0.44885717240666045,6,0.3192908653846154,0,859.4559294871794,white_removed_candidate,8.430986
v4_legacy_0009,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\44-44.jpg,44-44.jpg,images\val\stagev3_0009.png,legacy_v3::stage_archive::gt2::single::44-44,legacy_v3,legacy_v3,,legacy,,,0.0554641135014836,e01b0e0a060c0404,,stagev3_0009,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0009.png,images\train\v4_legacy_0009.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0009.jpg,3277a1ecc3e1e96296db4691c5991ce72b28048c1c54656de010cbe8d24d0dba,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 337, 1024]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0009.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0009.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0009.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0009.png,1,v4_fullplant_classical_pixel_v2,0.07496928319732937,0.002318249258160237,0.07784970790059347,0.030922654709906846,826.9099618438574,192.76899572613098,869.7071310398425,0.6969352744807121,8,353,1040,RGB,0,0.0,0.9097746048850575,0.9967049319727891,6.872520446777344,0.0,0.08562320402298851,0.038871677442528736,0.4539853172522286,5,0.6304552801724138,0,870.0606366738506,white_removed_candidate,8.462167
v4_legacy_0010,train,legacy_v3_development,,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,images\train\stagev3_0010.png,legacy_v3::stage_archive::gt2::single::Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879,legacy_v3,legacy_v3,,legacy,,,0.045667012532552,10302030300c0700,,stagev3_0010,0,0,0,0,B_mixed_background_standardized,shoot_only_standardization_mixed_background,legacy_v3_development_train_only,gt2,archive_folder,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\train\v4_legacy_0010.png,images\train\v4_legacy_0010.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\raw_review\train\v4_legacy_0010.jpg,36555256c9e04216441149bf4eff0ced3676ce65b5bb00c2347143de6f75f211,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1024, 768]",D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_candidate\images\train\v4_legacy_0010.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\train\v4_legacy_0010.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\seed_base_root\train\v4_legacy_0010.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\full_plant\train\v4_legacy_0010.png,1,v4_fullplant_classical_pixel_v2,0.06818389892578125,0.000301361083984375,0.0686200459798177,0.004419827682667562,878.5165596954246,852.1605442876366,777.7989930825438,0.9807383219401041,19,1062,806,RGB,0,0.0,0.9312540167095116,1.0,0.0,5.0208868894601544e-05,0.06713929948586118,0.04583567641388175,0.6826951839664971,3,0.6669746143958869,0,233.27765504498714,white_removed_candidate,8.861839
