dataset_id,split,new_split_role,relative_path,sha256,dhash64_foreground_crop,phash64_foreground_crop
v4_legacy_0001,train,legacy_v3_development,images\train\v4_legacy_0001.png,e2496d127e450335f339879b4e2d45bfb43639238e66b7d22318d3cda7be5f11,80406031111c6880,bb8f8770489e344b
v4_legacy_0002,train,legacy_v3_development,images\train\v4_legacy_0002.png,cdd1ce7850095e7f471a31f76e6d2837b6752aa2aef6d1f0d0fd9eda55a0764d,1010180c3c45c080,b3f1880c7e83cd3c
v4_legacy_0003,train,legacy_v3_development,images\train\v4_legacy_0003.png,aed006d474a3f22ceb5fb9cdf41c914ff6baf3062a19388f01df8415766e2a89,403216040e06070d,e4999b969264d969
v4_legacy_0004,train,legacy_v3_development,images\train\v4_legacy_0004.png,bde008bc555afd0a42619a4186608280faa3da536bea5f828b0551ed58a760e6,603809020404070b,e69999a48565c3d3
v4_legacy_0005,train,legacy_v3_development,images\train\v4_legacy_0005.png,91a62d2f1f07f34fb43a3395f019909775327ad9a9cfdba4d17c5e5b73438d27,20111e306040c080,9b78c0879eb4a527
v4_legacy_0006,train,legacy_v3_development,images\train\v4_legacy_0006.png,118dc3aabd215a5cc636f453609217ff8402b397dac72f558049a5a4c10b9efe,80c060301a120810,f08d8660b1de6cb3
v4_legacy_0007,train,legacy_v3_development,images\train\v4_legacy_0007.png,8f6cbea361be60d408fa2eea1fd2920a20c8296147d0a324e8bb2cf1ce2d40df,11131c1050503020,b863ced89318b6a6
v4_legacy_0008,train,legacy_v3_development,images\train\v4_legacy_0008.png,61d768dbfb403c87d52636ca383e41e343672ba383b6b8bdeb50f37e364911da,2c16022604070309,e431d984966f87c3
v4_legacy_0009,train,legacy_v3_development,images\train\v4_legacy_0009.png,3277a1ecc3e1e96296db4691c5991ce72b28048c1c54656de010cbe8d24d0dba,e11b0c0e0c0c060e,e61b994c996692e6
v4_legacy_0010,train,legacy_v3_development,images\train\v4_legacy_0010.png,36555256c9e04216441149bf4eff0ced3676ce65b5bb00c2347143de6f75f211,30202020300c0301,be9cc271184fa3d8
v4_legacy_0011,train,legacy_v3_development,images\train\v4_legacy_0011.png,161360b4e47a811fc36aaaf05a07e5ebc2bb1b956119e8bcb6c9f0bcd2b3720b,6031090314060604,ec5a92848567e373
v4_legacy_0012,train,legacy_v3_development,images\train\v4_legacy_0012.png,ed1170186a11047dffe90a7ebc98bbf370ff9d3c91933f952082f6cc67564861,0103026687060307,ed92d26c962d9465
v4_legacy_0013,train,legacy_v3_development,images\train\v4_legacy_0013.png,9286e95a6d577fc73076442ff3ec7c0189da6cb20b107879484a7ec92559b198,01036a0507040606,ec9b92e4da24952d
v4_legacy_0014,train,legacy_v3_development,images\train\v4_legacy_0014.png,2afe94e110e2e152bf2820dfdc5c055f4bcff97759e4c348b1ccdf61bc24080c,603a0e04070c0b38,b61c9986cc66c763
v4_legacy_0015,train,legacy_v3_development,images\train\v4_legacy_0015.png,1f842cb1d93e0c6a5345ce303a986578067811fd6b5db89960af1fbd31d74f6b,4031130c08081c19,b3cc9cb38621cd69
v4_legacy_0016,train,legacy_v3_development,images\train\v4_legacy_0016.png,831dccce11cac1d2a725f0d35926795a891dd13b3eae3c8ff6b0a8151237baba,10190e0818181c70,b34eccb19c33a62c
v4_legacy_0017,train,legacy_v3_development,images\train\v4_legacy_0017.png,acd5350520207b7764efe3f8f547fedd37684923f8da12f970124fc9f5aec575,2020232e20307030,bce1c11ce13e66c3
v4_legacy_0018,train,legacy_v3_development,images\train\v4_legacy_0018.png,9eeb7d6f419a5a5df64095aeff99bccc8190c2c0456d273c8df1a0b754168362,611b0a0505050d03,ec399b968686a761
v4_legacy_0019,train,legacy_v3_development,images\train\v4_legacy_0019.png,8cc8e74f5c560ba2fbef83336974d197d5c0061178db430560b992f055bd082b,01030c1890909880,b94ece119eb2b684
v4_legacy_0020,train,legacy_v3_development,images\train\v4_legacy_0020.png,ce91cc6de5c73dcbd98e7fe8546725984bf9eabc7a5470985539451c80551a19,4167389808080c0c,b71d8ec7c1e1f030
v4_legacy_0021,train,legacy_v3_development,images\train\v4_legacy_0021.png,23e580dfa3bb87d875c85820348280ec05369561d00ac10fb5cc78a8cbe0003c,0303030303030b12,e9cd125a95369636
v4_legacy_0022,train,legacy_v3_development,images\train\v4_legacy_0022.png,da5dbb6533ab4da543066e1641ce74a47a8ab5fd69dd4b9c9692944a75d08c19,380501030303061c,ea4ab5a59b8cc952
v4_legacy_0023,train,legacy_v3_development,images\train\v4_legacy_0023.png,2bd49cac4bc166579f60f7eb766cdacdf15a6420b56ecb4f922b323dccdb2b56,1c183030383a7f70,b8f0c363ce0fe00f
v4_legacy_0024,train,legacy_v3_development,images\train\v4_legacy_0024.png,f5821a2fc2c58f5b8e0c075f9c5db93fb3b66914d05616d633d0af41ca4d88eb,010101030207074c,eada362d892d9534
v4_legacy_0025,train,legacy_v3_development,images\train\v4_legacy_0025.png,bacdde533c1cad00ac0bb6e83f59eaf6b6c19f2e30caea92d2f9a649898cca46,181c0e030307361c,f9f3b24cc90cc632
v4_legacy_0026,train,legacy_v3_development,images\train\v4_legacy_0026.png,4fadde18eac2bb474b4c0b3e02da3cfc2d437813114502b28fc4e824b7cc0dd2,c0c0406070311f18,bbc770788731c4b8
v4_legacy_0027,train,legacy_v3_development,images\train\v4_legacy_0027.png,c637a0fa44a4247909d0893fc493ea017288ea34cd490bec9ec31b39fcc8bb7e,30181810180e0f05,b1388c67c3ccc6d9
v4_legacy_0028,train,legacy_v3_development,images\train\v4_legacy_0028.png,c3445566364c625537f88406a7b4ce593bd73995b8d0d2252a3f6b23abd16088,0606060203030311,eca4b64a92b1da2b
v4_legacy_0029,train,legacy_v3_development,images\train\v4_legacy_0029.png,3a55ab1a6e8732c0f94789550cf39195fa234802d006e11d68c5152f98ce38bc,0101030618101c60,fbcada3086b48da1
