dataset_id,stage_label,split,point_count,foreground_hit_ratio,mean_repeatability_f1,median_localization_error_bbox_diag,path_count,graph_failure,safety_cap_hit,support_mask_mode_uniform
stagev3_0002,gt2,test,7,1.0,0.8427197802197801,0.011509678287480367,1,,0,1.0
stagev3_0003,gt2,test,5,0.8,0.9370629370629371,0.011603286810319456,2,,0,1.0
stagev3_0004,gt2,test,5,0.8,0.9450757575757576,0.013340286696060563,2,,0,1.0
stagev3_0009,gt2,val,6,0.8333333333333334,0.784527972027972,0.011374417911446931,4,,0,1.0
stagev3_0011,leaf1_to_2,test,5,1.0,0.8518939393939394,0.011294774473046693,3,,0,1.0
stagev3_0015,leaf1_to_2,test,4,1.0,0.9444444444444444,0.012260261165668598,2,,0,1.0
stagev3_0018,leaf1_to_2,val,6,1.0,0.8473776223776224,0.009887018533172576,3,,0,1.0
stagev3_0019,leaf1_to_2,val,5,0.8,0.9522727272727274,0.01304623396942314,2,,0,1.0
stagev3_0027,lt1_needle,val,4,1.0,0.7441829004329005,0.008851870266693752,1,,0,1.0
stagev3_0028,lt1_needle,val,5,1.0,0.6760101010101011,0.009904572696511597,1,,0,1.0
stagev3_0030,lt1_needle,test,5,0.8,0.6468253968253969,0.012474131084817246,1,,0,1.0
