dataset_id,transform,family,reference_count,mapped_count,f1,localization_error_bbox_diag
stagev3_0002,flip_horizontal,geometric,7,6,0.923076923076923,0.0
stagev3_0002,rotate_10,geometric,7,6,0.7692307692307692,0.014788479976021321
stagev3_0002,brightness_075,photometric,7,6,0.923076923076923,0.0
stagev3_0002,rotate_minus10,geometric,7,5,0.8333333333333333,0.01134218902040189
stagev3_0002,scale_090,geometric,7,8,0.6666666666666666,0.020903226976847326
stagev3_0002,scale_110,geometric,7,6,0.7692307692307692,0.013972537139794024
stagev3_0002,translate,geometric,7,7,0.8571428571428571,0.011677167554558844
stagev3_0002,contrast_125,photometric,7,7,1.0,0.0
stagev3_0003,flip_horizontal,geometric,5,5,1.0,0.0
stagev3_0003,rotate_10,geometric,5,6,0.9090909090909091,0.013462267071682332
stagev3_0003,brightness_075,photometric,5,5,1.0,0.0
stagev3_0003,rotate_minus10,geometric,5,6,0.9090909090909091,0.010972977766147318
stagev3_0003,scale_090,geometric,5,5,1.0,0.012841677361899399
stagev3_0003,scale_110,geometric,5,8,0.7692307692307693,0.012233595854491595
stagev3_0003,translate,geometric,5,6,0.9090909090909091,0.018560149051737574
stagev3_0003,contrast_125,photometric,5,5,1.0,0.0
stagev3_0004,flip_horizontal,geometric,5,5,1.0,0.009909609499573386
stagev3_0004,rotate_10,geometric,5,6,0.9090909090909091,0.01771470338310148
stagev3_0004,brightness_075,photometric,5,5,1.0,0.0
stagev3_0004,rotate_minus10,geometric,5,5,1.0,0.009215096976511543
stagev3_0004,scale_090,geometric,5,6,0.9090909090909091,0.01677096389254774
stagev3_0004,scale_110,geometric,5,6,0.9090909090909091,0.01915283525958638
stagev3_0004,translate,geometric,5,7,0.8333333333333333,0.019425261365181055
stagev3_0004,contrast_125,photometric,5,5,1.0,0.0
stagev3_0009,flip_horizontal,geometric,6,7,0.923076923076923,0.0
stagev3_0009,rotate_10,geometric,6,5,0.5454545454545454,0.014950062273306166
stagev3_0009,brightness_075,photometric,6,7,0.923076923076923,0.0
stagev3_0009,rotate_minus10,geometric,6,6,1.0,0.013721924836253327
stagev3_0009,scale_090,geometric,6,7,0.7692307692307692,0.011344383331102147
stagev3_0009,scale_110,geometric,6,7,0.6153846153846153,0.016158952528919707
stagev3_0009,translate,geometric,6,6,0.5,0.011404452491791716
stagev3_0009,contrast_125,photometric,6,6,1.0,0.0
stagev3_0011,flip_horizontal,geometric,5,5,0.8000000000000002,0.0
stagev3_0011,rotate_10,geometric,5,6,0.7272727272727272,0.016990691921876334
stagev3_0011,brightness_075,photometric,5,5,1.0,0.01048566109844979
stagev3_0011,rotate_minus10,geometric,5,6,0.9090909090909091,0.011580270912235988
stagev3_0011,scale_090,geometric,5,6,0.7272727272727272,0.01499482139681836
stagev3_0011,scale_110,geometric,5,7,0.8333333333333333,0.0157212684593958
stagev3_0011,translate,geometric,5,6,0.9090909090909091,0.011009278033857399
stagev3_0011,contrast_125,photometric,5,6,0.9090909090909091,0.0
stagev3_0015,flip_horizontal,geometric,4,4,1.0,0.0
stagev3_0015,rotate_10,geometric,4,5,0.888888888888889,0.011479518849890543
stagev3_0015,brightness_075,photometric,4,4,1.0,0.0
