dataset_id,stage_label,split,point_count,path_count,graph_failure,endpoint_count,base_x,base_y,base_score_margin,spur_prune_removed_pixels
stagev3_0002,gt2,test,6,1,,6,41.0,326.0,0.38244411826845226,27
stagev3_0003,gt2,test,5,2,,6,313.0,385.0,0.07122243647679949,11
stagev3_0004,gt2,test,5,2,,5,257.0,290.0,0.11284715464402117,9
stagev3_0009,gt2,val,6,4,,8,285.0,422.0,0.07867625437718684,0
stagev3_0011,leaf1_to_2,test,5,3,,5,267.0,381.0,0.4568509582747524,0
stagev3_0015,leaf1_to_2,test,4,2,,3,176.0,16.0,0.3416914256260116,4
stagev3_0018,leaf1_to_2,val,6,3,,7,260.0,354.0,0.03161912125081978,2
stagev3_0019,leaf1_to_2,val,4,2,,7,230.0,412.0,0.2750165499164402,16
stagev3_0027,lt1_needle,val,2,1,,3,271.0,383.0,0.41571357608957615,2
stagev3_0028,lt1_needle,val,4,1,,2,275.0,367.0,0.75,3
stagev3_0030,lt1_needle,test,3,1,,2,252.0,5.0,0.6000000000000001,7
