clean_id,source_name,method,size,candidate_count,safety_cap_hit,plant_hit_ratio_white_mask,mean_repeatability_f1,median_localization_error_bbox_diag,photometric_count_difference
clean_002,leaf3 (49).jpg,cls_to_patch_attention,518,3,0,1.0,0.8888888888888888,0.017236277214777718,0.0
clean_002,leaf3 (49).jpg,feature_local_contrast,518,14,0,0.5,0.6537493158182813,0.0023651834259046565,7.0
clean_002,leaf3 (49).jpg,feature_hdbscan_medoid,728,2,0,0.5,0.0,nan,5.0
clean_011,leaf3 (9).jpg,cls_to_patch_attention,518,2,0,1.0,0.6333333333333333,0.0022844569682215926,0.0
clean_011,leaf3 (9).jpg,feature_local_contrast,518,18,0,0.3888888888888889,0.7070707070707071,0.0022844569682215926,4.0
clean_011,leaf3 (9).jpg,feature_hdbscan_medoid,728,4,0,0.25,0.38888888888888884,0.017786387594901105,1.0
clean_013,92.jpg,cls_to_patch_attention,518,2,0,1.0,0.7555555555555555,0.0022151178903544746,1.0
clean_013,92.jpg,feature_local_contrast,518,23,0,0.5217391304347826,0.7268715524034671,0.0022151178903544746,1.0
clean_013,92.jpg,feature_hdbscan_medoid,728,5,0,0.0,0.3068376068376068,0.021209078346386787,0.0
clean_014,leaf3 (3).jpg,cls_to_patch_attention,518,1,0,1.0,1.0,0.0020055550585926915,0.0
clean_014,leaf3 (3).jpg,feature_local_contrast,518,11,0,0.5454545454545454,0.8096666166841605,0.0020055550585926915,4.0
clean_014,leaf3 (3).jpg,feature_hdbscan_medoid,728,2,0,0.5,0.5,0.0007115428481715391,0.0
clean_019,leaf3 (11).jpg,cls_to_patch_attention,518,4,0,1.0,0.9523809523809524,0.002480198701637897,0.0
clean_019,leaf3 (11).jpg,feature_local_contrast,518,13,0,0.38461538461538464,0.710339123242349,0.002480198701637897,5.0
clean_019,leaf3 (11).jpg,feature_hdbscan_medoid,728,2,0,0.5,0.3333333333333333,0.002220622323328475,0.0
clean_020,31-31.jpg,cls_to_patch_attention,518,3,0,1.0,0.8666666666666667,0.0018015093964441802,1.0
clean_020,31-31.jpg,feature_local_contrast,518,27,0,0.2962962962962963,0.7825177966687401,0.0018015093964441802,2.0
clean_020,31-31.jpg,feature_hdbscan_medoid,728,7,0,0.14285714285714285,0.35354449472096533,0.0012641972469873022,1.0
