image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0279,518,last,feature_local_contrast,6.0,flip_horizontal,geometric,12,10,9,0.9,0.75,0.8181818181818182,0.001548466349342305
akd_0279,518,last,feature_local_contrast,6.0,rotate_10,geometric,12,10,7,0.7,0.5833333333333334,0.6363636363636365,0.0077675087253323855
akd_0279,518,last,feature_local_contrast,6.0,brightness_075,photometric,12,15,12,0.8,1.0,0.888888888888889,0.0
akd_0279,518,last,feature_local_contrast,6.0,rotate_minus10,geometric,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0046758230375594685
akd_0279,518,last,feature_local_contrast,6.0,scale_090,geometric,12,16,11,0.6875,0.9166666666666666,0.7857142857142857,0.009549263317173224
akd_0279,518,last,feature_local_contrast,6.0,scale_110,geometric,12,8,6,0.75,0.5,0.6,0.015368457346072955
akd_0279,518,last,feature_local_contrast,6.0,translate,geometric,12,10,4,0.4,0.3333333333333333,0.3636363636363636,0.011317211010185563
akd_0279,518,last,feature_local_contrast,6.0,contrast_125,photometric,12,11,10,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.0
akd_0279,518,last,feature_local_contrast,7.0,flip_horizontal,geometric,5,7,5,0.7142857142857143,1.0,0.8333333333333333,0.001548466349342305
akd_0279,518,last,feature_local_contrast,7.0,rotate_10,geometric,5,5,3,0.6,0.6,0.6,0.0077675087253323855
akd_0279,518,last,feature_local_contrast,7.0,brightness_075,photometric,5,7,5,0.7142857142857143,1.0,0.8333333333333333,0.0
akd_0279,518,last,feature_local_contrast,7.0,rotate_minus10,geometric,5,8,5,0.625,1.0,0.7692307692307693,0.006099713772148311
akd_0279,518,last,feature_local_contrast,7.0,scale_090,geometric,5,7,3,0.42857142857142855,0.6,0.5,0.012350037112240923
akd_0279,518,last,feature_local_contrast,7.0,scale_110,geometric,5,4,3,0.75,0.6,0.6666666666666665,0.01411387047743017
akd_0279,518,last,feature_local_contrast,7.0,translate,geometric,5,4,1,0.25,0.2,0.22222222222222224,0.010901950912582089
akd_0279,518,last,feature_local_contrast,7.0,contrast_125,photometric,5,5,5,1.0,1.0,1.0,0.0
akd_0279,518,last,feature_local_contrast,8.0,flip_horizontal,geometric,3,3,3,1.0,1.0,1.0,0.001548466349342305
akd_0279,518,last,feature_local_contrast,8.0,rotate_10,geometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.007077478694602721
akd_0279,518,last,feature_local_contrast,8.0,brightness_075,photometric,3,3,3,1.0,1.0,1.0,0.0
akd_0279,518,last,feature_local_contrast,8.0,rotate_minus10,geometric,3,4,1,0.25,0.3333333333333333,0.28571428571428575,0.0022926611370637823
akd_0279,518,last,feature_local_contrast,8.0,scale_090,geometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.009586620577418211
akd_0279,518,last,feature_local_contrast,8.0,scale_110,geometric,3,2,1,0.5,0.3333333333333333,0.4,0.016623044214715738
akd_0279,518,last,feature_local_contrast,8.0,translate,geometric,3,2,1,0.5,0.3333333333333333,0.4,0.010901950912582089
akd_0279,518,last,feature_local_contrast,8.0,contrast_125,photometric,3,3,3,1.0,1.0,1.0,0.0
akd_0279,518,last,feature_local_contrast,10.0,flip_horizontal,geometric,1,0,0,0.0,0.0,0.0,nan
akd_0279,518,last,feature_local_contrast,10.0,rotate_10,geometric,1,0,0,0.0,0.0,0.0,nan
akd_0279,518,last,feature_local_contrast,10.0,brightness_075,photometric,1,1,1,1.0,1.0,1.0,0.0
akd_0279,518,last,feature_local_contrast,10.0,rotate_minus10,geometric,1,2,1,0.5,1.0,0.6666666666666666,0.0022926611370637823
akd_0279,518,last,feature_local_contrast,10.0,scale_090,geometric,1,2,1,0.5,1.0,0.6666666666666666,0.00542577345098301
akd_0279,518,last,feature_local_contrast,10.0,scale_110,geometric,1,0,0,0.0,0.0,0.0,nan
akd_0279,518,last,feature_local_contrast,10.0,translate,geometric,1,0,0,0.0,0.0,0.0,nan
akd_0279,518,last,feature_local_contrast,10.0,contrast_125,photometric,1,0,0,0.0,0.0,0.0,nan
akd_0279,518,last,cls_to_patch_attention,0.985,flip_horizontal,geometric,11,8,8,1.0,0.7272727272727273,0.8421052631578948,0.001548466349342305
akd_0279,518,last,cls_to_patch_attention,0.985,rotate_10,geometric,11,10,7,0.7,0.6363636363636364,0.6666666666666666,0.012036232645777111
akd_0279,518,last,cls_to_patch_attention,0.985,brightness_075,photometric,11,12,9,0.75,0.8181818181818182,0.7826086956521738,0.0
akd_0279,518,last,cls_to_patch_attention,0.985,rotate_minus10,geometric,11,9,8,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.01039561464828567
akd_0279,518,last,cls_to_patch_attention,0.985,scale_090,geometric,11,5,5,1.0,0.45454545454545453,0.625,0.01212995812242458
akd_0279,518,last,cls_to_patch_attention,0.985,scale_110,geometric,11,8,8,1.0,0.7272727272727273,0.8421052631578948,0.01115196949724518
akd_0279,518,last,cls_to_patch_attention,0.985,translate,geometric,11,8,8,1.0,0.7272727272727273,0.8421052631578948,0.011732471107789036
akd_0279,518,last,cls_to_patch_attention,0.985,contrast_125,photometric,11,11,10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0
akd_0279,518,last,cls_to_patch_attention,0.99,flip_horizontal,geometric,8,7,7,1.0,0.875,0.9333333333333333,0.001548466349342305
akd_0279,518,last,cls_to_patch_attention,0.99,rotate_10,geometric,8,5,4,0.8,0.5,0.6153846153846154,0.010947928173599054
akd_0279,518,last,cls_to_patch_attention,0.99,brightness_075,photometric,8,8,8,1.0,1.0,1.0,0.0
akd_0279,518,last,cls_to_patch_attention,0.99,rotate_minus10,geometric,8,4,4,1.0,0.5,0.6666666666666666,0.009799778176783508
akd_0279,518,last,cls_to_patch_attention,0.99,scale_090,geometric,8,3,2,0.6666666666666666,0.25,0.36363636363636365,0.011598610484745836
akd_0279,518,last,cls_to_patch_attention,0.99,scale_110,geometric,8,8,5,0.625,0.625,0.625,0.014972295254144912
akd_0279,518,last,cls_to_patch_attention,0.99,translate,geometric,8,5,4,0.8,0.5,0.6153846153846154,0.011732471107789036
akd_0279,518,last,cls_to_patch_attention,0.99,contrast_125,photometric,8,7,7,1.0,0.875,0.9333333333333333,0.0
akd_0279,518,last,cls_to_patch_attention,0.993,flip_horizontal,geometric,6,3,3,1.0,0.5,0.6666666666666666,0.029583408065866953
akd_0279,518,last,cls_to_patch_attention,0.993,rotate_10,geometric,6,2,2,1.0,0.3333333333333333,0.5,0.009828549861717231
akd_0279,518,last,cls_to_patch_attention,0.993,brightness_075,photometric,6,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
akd_0279,518,last,cls_to_patch_attention,0.993,rotate_minus10,geometric,6,3,2,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.014024010795597208
akd_0279,518,last,cls_to_patch_attention,0.993,scale_090,geometric,6,2,2,1.0,0.3333333333333333,0.5,0.0321078215351701
akd_0279,518,last,cls_to_patch_attention,0.993,scale_110,geometric,6,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.009783745114061332
akd_0279,518,last,cls_to_patch_attention,0.993,translate,geometric,6,4,4,1.0,0.6666666666666666,0.8,0.029744374939624316
akd_0279,518,last,cls_to_patch_attention,0.993,contrast_125,photometric,6,5,5,1.0,0.8333333333333334,0.9090909090909091,0.0
akd_0279,518,last,cls_to_patch_attention,0.996,flip_horizontal,geometric,3,2,2,1.0,0.6666666666666666,0.8,0.015565937207604628
akd_0279,518,last,cls_to_patch_attention,0.996,rotate_10,geometric,3,2,2,1.0,0.6666666666666666,0.8,0.009828549861717231
akd_0279,518,last,cls_to_patch_attention,0.996,brightness_075,photometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
akd_0279,518,last,cls_to_patch_attention,0.996,rotate_minus10,geometric,3,2,2,1.0,0.6666666666666666,0.8,0.014024010795597208
akd_0279,518,last,cls_to_patch_attention,0.996,scale_090,geometric,3,1,1,1.0,0.3333333333333333,0.5,0.020700986864212446
akd_0279,518,last,cls_to_patch_attention,0.996,scale_110,geometric,3,4,3,0.75,1.0,0.8571428571428571,0.014972295254144912
akd_0279,518,last,cls_to_patch_attention,0.996,translate,geometric,3,3,3,1.0,1.0,1.0,0.011732471107789036
akd_0279,518,last,cls_to_patch_attention,0.996,contrast_125,photometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.015329034784827698
akd_0279,518,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,12,8,2,0.25,0.16666666666666666,0.2,0.001548466349342305
akd_0279,518,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,12,15,4,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.04842426953284274
akd_0279,518,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,12,8,5,0.625,0.4166666666666667,0.5,0.0
akd_0279,518,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,12,3,1,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.025889480024773627
akd_0279,518,last,feature_hdbscan_medoid,0.0,scale_090,geometric,12,9,2,0.2222222222222222,0.16666666666666666,0.1904761904761905,0.01787526561111777
akd_0279,518,last,feature_hdbscan_medoid,0.0,scale_110,geometric,12,6,2,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.032149561000709016
akd_0279,518,last,feature_hdbscan_medoid,0.0,translate,geometric,12,9,1,0.1111111111111111,0.08333333333333333,0.09523809523809525,0.010901950912582102
akd_0279,518,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,12,9,6,0.6666666666666666,0.5,0.5714285714285715,0.0
akd_0279,518,last4avg,feature_local_contrast,6.0,flip_horizontal,geometric,21,22,19,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.001548466349342305
akd_0279,518,last4avg,feature_local_contrast,6.0,rotate_10,geometric,21,17,13,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.008289547960969
akd_0279,518,last4avg,feature_local_contrast,6.0,brightness_075,photometric,21,26,21,0.8076923076923077,1.0,0.8936170212765957,0.0
akd_0279,518,last4avg,feature_local_contrast,6.0,rotate_minus10,geometric,21,18,12,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.008323132572972949
akd_0279,518,last4avg,feature_local_contrast,6.0,scale_090,geometric,21,21,15,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.01212995812242458
akd_0279,518,last4avg,feature_local_contrast,6.0,scale_110,geometric,21,18,10,0.5555555555555556,0.47619047619047616,0.5128205128205129,0.007181890189121301
akd_0279,518,last4avg,feature_local_contrast,6.0,translate,geometric,21,19,14,0.7368421052631579,0.6666666666666666,0.7,0.011732471107789052
akd_0279,518,last4avg,feature_local_contrast,6.0,contrast_125,photometric,21,17,16,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.0
akd_0279,518,last4avg,feature_local_contrast,7.0,flip_horizontal,geometric,15,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.001548466349342305
akd_0279,518,last4avg,feature_local_contrast,7.0,rotate_10,geometric,15,11,7,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.0077675087253323855
akd_0279,518,last4avg,feature_local_contrast,7.0,brightness_075,photometric,15,18,15,0.8333333333333334,1.0,0.9090909090909091,0.0
akd_0279,518,last4avg,feature_local_contrast,7.0,rotate_minus10,geometric,15,12,8,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.006222647111278915
akd_0279,518,last4avg,feature_local_contrast,7.0,scale_090,geometric,15,16,13,0.8125,0.8666666666666667,0.8387096774193549,0.009549263317173224
