image_id,source_name,structural_complexity_proxy,size,layer_mode,method,tau,candidate_count,safety_cap_hit,plant_hit_ratio,collapse_background_or_single,mean_repeatability_f1,median_localization_error_bbox_diag,median_photometric_count_difference
akd_0331,leaf3 (13).jpg,low,518,last4avg,feature_local_contrast,6.0,19,0,0.42105263157894735,0,0.6715260300786616,0.018896526371973265,1.5
akd_0331,leaf3 (13).jpg,low,518,last4avg,cls_to_patch_attention,0.996,3,0,0.6666666666666666,0,0.769047619047619,0.01190411870846945,1.0
akd_0050,32-32.jpg,high,518,last4avg,feature_local_contrast,6.0,18,0,0.5,0,0.6727152990168883,0.015460315214339264,1.5
akd_0050,32-32.jpg,high,518,last4avg,cls_to_patch_attention,0.996,2,0,0.5,0,0.875,0.011342658212475976,0.0
akd_0326,leaf3 (118).jpg,low,518,last4avg,feature_local_contrast,6.0,30,1,0.2,0,0.5625,0.016514922029662312,0.0
akd_0326,leaf3 (118).jpg,low,518,last4avg,cls_to_patch_attention,0.996,3,0,0.6666666666666666,0,0.76875,0.01953293668934382,0.5
akd_0396,leaf3 (95).jpg,low,518,last4avg,feature_local_contrast,6.0,26,0,0.2692307692307692,0,0.7589451120673079,0.0176475286366939,3.0
akd_0396,leaf3 (95).jpg,low,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.7440476190476191,0.009213886866202885,0.5
akd_0248,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151026-881-13320424837995.jpg,medium,518,last4avg,feature_local_contrast,6.0,22,0,0.45454545454545453,0,0.7342346713335159,0.009630668938673776,2.0
akd_0248,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151026-881-13320424837995.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,5,0,0.8,0,0.548611111111111,0.021035940802502356,1.0
akd_0102,56.jpg,high,518,last4avg,feature_local_contrast,6.0,18,0,0.3888888888888889,0,0.8006790727378963,0.01150059946192014,0.5
akd_0102,56.jpg,high,518,last4avg,cls_to_patch_attention,0.996,2,0,0.5,0,0.9083333333333333,0.011483775581690793,0.0
akd_0384,leaf3 (84).jpg,low,518,last4avg,feature_local_contrast,6.0,16,0,0.4375,0,0.7258671863935022,0.015326196279654106,3.0
akd_0384,leaf3 (84).jpg,low,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.5982142857142857,0.017080620611889096,0.5
akd_0174,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-112957-778-13188133798730.jpg,medium,518,last4avg,feature_local_contrast,6.0,19,0,0.3157894736842105,0,0.7595828266340903,0.010447597454771954,0.5
akd_0174,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-112957-778-13188133798730.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.6532738095238095,0.01712057124364701,0.5
akd_0214,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145508-818-13311244201352.jpg,high,518,last4avg,feature_local_contrast,6.0,11,0,0.5454545454545454,0,0.8151963406540066,0.011025753581733487,0.5
akd_0214,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145508-818-13311244201352.jpg,high,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.6354166666666666,0.01203781176079724,1.0
akd_0079,45.jpg,high,518,last4avg,feature_local_contrast,6.0,12,0,0.25,0,0.7560889355742297,0.008045043498039747,2.0
akd_0079,45.jpg,high,518,last4avg,cls_to_patch_attention,0.996,5,0,1.0,0,0.7847222222222221,0.007148621965737791,1.5
akd_0365,leaf3 (63).jpg,medium,518,last4avg,feature_local_contrast,6.0,26,0,0.5769230769230769,0,0.6802625090440217,0.019141265835195376,2.5
akd_0365,leaf3 (63).jpg,medium,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.5848214285714286,0.014017671561852458,0.5
akd_0060,37-37.jpg,low,518,last4avg,feature_local_contrast,6.0,20,0,0.4,0,0.7466383509350043,0.01438690536433772,2.5
akd_0060,37-37.jpg,low,518,last4avg,cls_to_patch_attention,0.996,4,0,0.75,0,0.5936507936507937,0.013430865303384228,1.0
akd_0203,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145301-694-13309972967640.jpg,high,518,last4avg,feature_local_contrast,6.0,13,0,0.6923076923076923,0,0.66741970991971,0.009363902054717899,1.5
akd_0203,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145301-694-13309972967640.jpg,high,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.831845238095238,0.012365622628460235,0.5
akd_0282,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151315-666-13322112685671.jpg,medium,518,last4avg,feature_local_contrast,6.0,29,0,0.4482758620689655,0,0.8718744045492646,0.010149797801966488,1.0
akd_0282,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151315-666-13322112685671.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.5074404761904762,0.006837134988083743,0.5
akd_0106,6-6.jpg,low,518,last4avg,feature_local_contrast,6.0,23,0,0.6086956521739131,0,0.7441560122072544,0.014683153366060252,1.0
akd_0106,6-6.jpg,low,518,last4avg,cls_to_patch_attention,0.996,3,0,0.6666666666666666,0,0.9214285714285715,0.01787311198948455,0.5
akd_0219,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145529-466-13311450682422.jpg,high,518,last4avg,feature_local_contrast,6.0,18,0,0.4444444444444444,0,0.7104553775939131,0.010467152106231531,3.5
akd_0219,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145529-466-13311450682422.jpg,high,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.7395833333333333,0.009373647591423867,0.0
akd_0386,leaf3 (86).jpg,low,518,last4avg,feature_local_contrast,6.0,21,0,0.7142857142857143,0,0.7332185146080064,0.021119389776559704,2.0
akd_0386,leaf3 (86).jpg,low,518,last4avg,cls_to_patch_attention,0.996,2,0,1.0,0,0.7333333333333334,0.028415768172962288,0.0
akd_0030,22.jpg,medium,518,last4avg,feature_local_contrast,6.0,30,1,0.36666666666666664,0,0.6631027593695696,0.01221984451963935,4.0
akd_0030,22.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,5,0,1.0,0,0.6402777777777777,0.011026200144672904,1.5
akd_0266,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151207-974-13321435761793.jpg,medium,518,last4avg,feature_local_contrast,6.0,22,0,0.5454545454545454,0,0.8101200963119568,0.00919941361036532,1.0
akd_0266,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151207-974-13321435761793.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,2,0,1.0,0,0.7083333333333333,0.00691333230012648,0.0
akd_0099,55-55.jpg,medium,518,last4avg,feature_local_contrast,6.0,29,0,0.4482758620689655,0,0.6313944530046225,0.014421890582379034,3.0
akd_0099,55-55.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,5,0,1.0,0,0.7237373737373737,0.011033559492082217,0.0
akd_0255,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151114-579-13320901812979.jpg,medium,518,last4avg,feature_local_contrast,6.0,22,0,0.6818181818181818,0,0.7746906170896773,0.00956264831066149,1.5
akd_0255,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151114-579-13320901812979.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.8913690476190477,0.02095587630236221,0.0
akd_0155,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-112705-835-13186414370962.jpg,medium,518,last4avg,feature_local_contrast,6.0,19,0,0.42105263157894735,0,0.7974317841075031,0.008516715318181536,0.5
akd_0155,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-112705-835-13186414370962.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.783234126984127,0.010006048220417105,0.5
