image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0331,518,last4avg,feature_local_contrast,6.0,flip_horizontal,geometric,19,20,14,0.7,0.7368421052631579,0.717948717948718,0.0022924567252873376
akd_0331,518,last4avg,feature_local_contrast,6.0,rotate_10,geometric,19,21,12,0.5714285714285714,0.631578947368421,0.6,0.01898354403261214
akd_0331,518,last4avg,feature_local_contrast,6.0,brightness_075,photometric,19,21,18,0.8571428571428571,0.9473684210526315,0.9,0.0
akd_0331,518,last4avg,feature_local_contrast,6.0,rotate_minus10,geometric,19,17,7,0.4117647058823529,0.3684210526315789,0.3888888888888889,0.02742983848130572
akd_0331,518,last4avg,feature_local_contrast,6.0,scale_090,geometric,19,17,10,0.5882352941176471,0.5263157894736842,0.5555555555555555,0.021546205666537574
akd_0331,518,last4avg,feature_local_contrast,6.0,scale_110,geometric,19,19,14,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.01880950871133439
akd_0331,518,last4avg,feature_local_contrast,6.0,translate,geometric,19,21,10,0.47619047619047616,0.5263157894736842,0.5,0.031329455384714405
akd_0331,518,last4avg,feature_local_contrast,6.0,contrast_125,photometric,19,18,18,1.0,0.9473684210526315,0.972972972972973,0.0
akd_0331,518,last4avg,cls_to_patch_attention,0.996,flip_horizontal,geometric,3,4,3,0.75,1.0,0.8571428571428571,0.0022924567252873376
akd_0331,518,last4avg,cls_to_patch_attention,0.996,rotate_10,geometric,3,4,3,0.75,1.0,0.8571428571428571,0.011882002247525954
akd_0331,518,last4avg,cls_to_patch_attention,0.996,brightness_075,photometric,3,4,3,0.75,1.0,0.8571428571428571,0.0
akd_0331,518,last4avg,cls_to_patch_attention,0.996,rotate_minus10,geometric,3,4,3,0.75,1.0,0.8571428571428571,0.015156085259613457
akd_0331,518,last4avg,cls_to_patch_attention,0.996,scale_090,geometric,3,2,2,1.0,0.6666666666666666,0.8,0.023142998766525005
akd_0331,518,last4avg,cls_to_patch_attention,0.996,scale_110,geometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.011926235169412946
akd_0331,518,last4avg,cls_to_patch_attention,0.996,translate,geometric,3,2,1,0.5,0.3333333333333333,0.4,0.03132945538471438
akd_0331,518,last4avg,cls_to_patch_attention,0.996,contrast_125,photometric,3,4,3,0.75,1.0,0.8571428571428571,0.0
akd_0050,518,last4avg,feature_local_contrast,6.0,flip_horizontal,geometric,18,19,14,0.7368421052631579,0.7777777777777778,0.7567567567567567,0.0017998162481411182
akd_0050,518,last4avg,feature_local_contrast,6.0,rotate_10,geometric,18,14,11,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.019450082435627396
akd_0050,518,last4avg,feature_local_contrast,6.0,brightness_075,photometric,18,16,14,0.875,0.7777777777777778,0.823529411764706,0.0
akd_0050,518,last4avg,feature_local_contrast,6.0,rotate_minus10,geometric,18,15,8,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.01472269738163511
akd_0050,518,last4avg,feature_local_contrast,6.0,scale_090,geometric,18,26,10,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.016890645026082677
akd_0050,518,last4avg,feature_local_contrast,6.0,scale_110,geometric,18,13,11,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.016197933047043415
akd_0050,518,last4avg,feature_local_contrast,6.0,translate,geometric,18,22,12,0.5454545454545454,0.6666666666666666,0.6,0.022719308197540013
akd_0050,518,last4avg,feature_local_contrast,6.0,contrast_125,photometric,18,19,16,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.0
akd_0050,518,last4avg,cls_to_patch_attention,0.996,flip_horizontal,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.013530720546806239
akd_0050,518,last4avg,cls_to_patch_attention,0.996,rotate_10,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.012379941204655824
akd_0050,518,last4avg,cls_to_patch_attention,0.996,brightness_075,photometric,2,2,2,1.0,1.0,1.0,0.0
akd_0050,518,last4avg,cls_to_patch_attention,0.996,rotate_minus10,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.007130411427069702
akd_0050,518,last4avg,cls_to_patch_attention,0.996,scale_090,geometric,2,2,2,1.0,1.0,1.0,0.010305375220296129
akd_0050,518,last4avg,cls_to_patch_attention,0.996,scale_110,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.016318942372602473
akd_0050,518,last4avg,cls_to_patch_attention,0.996,translate,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.013154241465063173
akd_0050,518,last4avg,cls_to_patch_attention,0.996,contrast_125,photometric,2,2,2,1.0,1.0,1.0,0.0
akd_0326,518,last4avg,feature_local_contrast,6.0,flip_horizontal,geometric,30,30,20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019144410598988142
akd_0326,518,last4avg,feature_local_contrast,6.0,rotate_10,geometric,30,30,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01780030925443278
akd_0326,518,last4avg,feature_local_contrast,6.0,brightness_075,photometric,30,30,24,0.8,0.8,0.8000000000000002,0.0
akd_0326,518,last4avg,feature_local_contrast,6.0,rotate_minus10,geometric,30,30,11,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.022070551230218814
akd_0326,518,last4avg,feature_local_contrast,6.0,scale_090,geometric,30,30,20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.015483270347884668
akd_0326,518,last4avg,feature_local_contrast,6.0,scale_110,geometric,30,30,11,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.017546573711439955
akd_0326,518,last4avg,feature_local_contrast,6.0,translate,geometric,30,30,15,0.5,0.5,0.5,0.026163370985878693
akd_0326,518,last4avg,feature_local_contrast,6.0,contrast_125,photometric,30,30,24,0.8,0.8,0.8000000000000002,0.0
