image_id,transform,transform_family,base_count,transformed_count_after_inverse,count_difference,matches,precision,recall,f1,localization_error_bbox_diag
akd_0279,flip_horizontal,geometric,15,17,2,15,0.8823529411764706,1.0,0.9375,0.001548466349342305
akd_0279,rotate_10,geometric,15,17,2,12,0.7058823529411765,0.8,0.7500000000000001,0.011555215580238866
akd_0279,brightness_075,photometric,15,19,4,13,0.6842105263157895,0.8666666666666667,0.7647058823529413,0.001548466349342305
akd_0120,flip_horizontal,geometric,20,18,2,18,1.0,0.9,0.9473684210526316,0.0
akd_0120,rotate_10,geometric,20,16,4,16,1.0,0.8,0.888888888888889,0.011024940923965736
akd_0120,brightness_075,photometric,20,19,1,19,1.0,0.95,0.9743589743589743,0.003909375540569513
akd_0227,flip_horizontal,geometric,13,13,0,13,1.0,1.0,1.0,0.0
akd_0227,rotate_10,geometric,13,14,1,11,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.011842364353195396
akd_0227,brightness_075,photometric,13,13,0,10,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.005264304300814232
akd_0346,flip_horizontal,geometric,11,12,1,11,0.9166666666666666,1.0,0.9565217391304348,0.00204358440253236
akd_0346,rotate_10,geometric,11,12,1,7,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.017504993008843197
akd_0346,brightness_075,photometric,11,12,1,10,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.004328381223442685
akd_0222,flip_horizontal,geometric,14,14,0,13,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.001548466349342305
akd_0222,rotate_10,geometric,14,16,2,13,0.8125,0.9285714285714286,0.8666666666666666,0.014080258260869945
akd_0222,brightness_075,photometric,14,17,3,14,0.8235294117647058,1.0,0.9032258064516129,0.006747269186177693
akd_0394,flip_horizontal,geometric,17,17,0,17,1.0,1.0,1.0,0.0
akd_0394,rotate_10,geometric,17,17,0,11,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.010285930589810267
akd_0394,brightness_075,photometric,17,16,1,15,0.9375,0.8823529411764706,0.9090909090909091,0.0021041070908684885
