dataset_id,source_name,stage_label,split,candidate_count,candidate_type_counts,path_count,support_fraction,skeleton_pixels,base_score_margin,endpoint_base_scores,skeleton_components,graph_failure,attention_mode,safety_cap_hit
stagev3_0002,1.jpg,gt2,test,15,"{""endpoint"": 8, ""shape_corner"": 3, ""dino_distinctive"": 4}",1,0.029576184016338457,572,0.28087613242861575,"[{""node"": 0, ""x"": 206.0, ""y"": 242.0, ""local_half_width"": 2.098449945449829, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -18.62000015258789, ""eccentricity"": 349.7350647362948, ""base_score"": 0.3541347358466701}, {""node"": 4, ""x"": 200.0, ""y"": 246.0, ""local_half_width"": 1.399999976158142, ""terminal_edge_length"": 4.0, ""basal_color_score"": -19.38999984741211, ""eccentricity"": 349.7350647362948, ""base_score"": 0.3294122523686388}, {""node"": 11, ""x"": 207.0, ""y"": 246.0, ""local_half_width"": 3.396899938583374, ""terminal_edge_length"": 1.0, ""basal_color_score"": -19.38999984741211, ""eccentricity"": 346.73506473629476, ""base_score"": 0.36419409930902297}, {""node"": 72, ""x"": 116.0, ""y"": 301.0, ""local_half_width"": 3.196899890899658, ""terminal_edge_length"": 6.0, ""basal_color_score"": -21.160000000000004, ""eccentricity"": 356.426406871193, ""base_score"": 0.33595448697263014}, {""node"": 79, ""x"": 199.0, ""y"": 304.0, ""local_half_width"": 9.492249965667725, ""terminal_edge_length"": 3.82842712474619, ""basal_color_score"": -28.410000076293944, ""eccentricity"": 267.9411254969543, ""base_score"": 0.2183282596626992}, {""node"": 82, ""x"": 136.0, ""y"": 305.0, ""local_half_width"": 7.5, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -25.459999923706054, ""eccentricity"": 334.42640687119297, ""base_score"": 0.3164749307843783}, {""node"": 163, ""x"": 374.0, ""y"": 308.0, ""local_half_width"": 2.196899890899658, ""terminal_edge_length"": 4.414213562373095, ""basal_color_score"": -28.75, ""eccentricity"": 388.2375900532366, ""base_score"": 0.24328671586223943}, {""node"": 197, ""x"": 454.0, ""y"": 309.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 4.82842712474619, ""basal_color_score"": -16.559999694824217, ""eccentricity"": 466.0660171779829, ""base_score"": 0.5455289799173773}, {""node"": 468, ""x"": 448.0, ""y"": 314.0, ""local_half_width"": 4.996899604797363, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -24.10999969482422, ""eccentricity"": 463.0660171779829, ""base_score"": 0.46057213248847223}, {""node"": 479, ""x"": 111.0, ""y"": 317.0, ""local_half_width"": 5.395349740982056, ""terminal_edge_length"": 8.242640687119286, ""basal_color_score"": -20.08000007629395, ""eccentricity"": 365.08326112068545, ""base_score"": 0.39593552774430885}, {""node"": 483, ""x"": 144.0, ""y"": 318.0, ""local_half_width"": 4.196899890899658, ""terminal_edge_length"": 8.0, ""basal_color_score"": -25.459999923706054, ""eccentricity"": 330.01219330881986, ""base_score"": 0.2478145933017996}, {""node"": 488, ""x"": 359.0, ""y"": 319.0, ""local_half_width"": 3.396899938583374, ""terminal_edge_length"": 5.82842712474619, ""basal_color_score"": -28.88, ""eccentricity"": 377.65180361560965, ""base_score"": 0.24504465361545946}, {""node"": 507, ""x"": 41.0, ""y"": 326.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 27.727922061357862, ""basal_color_score"": 4.040000305175781, ""eccentricity"": 466.06601717798236, ""base_score"": 0.826405112345993}, {""node"": 562, ""x"": 39.0, ""y"": 351.0, ""local_half_width"": 9.5, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -30.96, ""eccentricity"": 445.9949493661169, ""base_score"": 0.40383332108049663}, {""node"": 571, ""x"": 40.0, ""y"": 358.0, ""local_half_width"": 10.48914909362793, ""terminal_edge_length"": 8.242640687119284, ""basal_color_score"": -29.780000076293945, ""eccentricity"": 451.40916292849, ""base_score"": 0.4364995637775493}]",1,,exact_last_block_cls_attention,0
stagev3_0003,18-18.jpg,gt2,test,23,"{""endpoint"": 7, ""shape_corner"": 13, ""dino_distinctive"": 3}",2,0.03695532266960838,676,0.05245781138887906,"[{""node"": 0, ""x"": 130.0, ""y"": 16.0, ""local_half_width"": 3.59689998626709, ""terminal_edge_length"": 232.1492782986677, ""basal_color_score"": -47.83999938964843, ""eccentricity"": 480.90158697766583, ""base_score"": 0.661174904240361}, {""node"": 90, ""x"": 330.0, ""y"": 90.0, ""local_half_width"": 2.098449945449829, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -55.280000610351564, ""eccentricity"": 480.90158697766634, ""base_score"": 0.6161172056620945}, {""node"": 100, ""x"": 331.0, ""y"": 94.0, ""local_half_width"": 3.298449993133545, ""terminal_edge_length"": 1.0, ""basal_color_score"": -66.35000000000001, ""eccentricity"": 477.9015869776663, ""base_score"": 0.5753464238342405}, {""node"": 124, ""x"": 330.0, ""y"": 105.0, ""local_half_width"": 7.0, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -84.5, ""eccentricity"": 467.07315985292007, ""base_score"": 0.5524262437357104}, {""node"": 176, ""x"": 332.0, ""y"": 130.0, ""local_half_width"": 5.893799781799316, ""terminal_edge_length"": 11.414213562373096, ""basal_color_score"": -102.35000030517578, ""eccentricity"": 447.58787847868143, ""base_score"": 0.3754750454984749}, {""node"": 263, ""x"": 262.0, ""y"": 168.0, ""local_half_width"": 2.0, ""terminal_edge_length"": 19.07106781186548, ""basal_color_score"": -55.459999389648445, ""eccentricity"": 267.82337649086315, ""base_score"": 0.3585774107621303}, {""node"": 483, ""x"": 254.0, ""y"": 286.0, ""local_half_width"": 3.59689998626709, ""terminal_edge_length"": 9.242640687119286, ""basal_color_score"": -61.920000610351565, ""eccentricity"": 395.64675298172693, ""base_score"": 0.5155317517799054}, {""node"": 491, ""x"": 223.0, ""y"": 290.0, ""local_half_width"": 3.298449993133545, ""terminal_edge_length"": 1.4142135623730951, ""basal_color_score"": -49.51999938964844, ""eccentricity"": 423.4751801064732, ""base_score"": 0.6235587310074089}, {""node"": 501, ""x"": 217.0, ""y"": 292.0, ""local_half_width"": 2.0, ""terminal_edge_length"": 4.414213562373095, ""basal_color_score"": -45.689999389648435, ""eccentricity"": 426.88939366884637, ""base_score"": 0.6134861735316518}, {""node"": 672, ""x"": 313.0, ""y"": 385.0, ""local_half_width"": 6.0, ""terminal_edge_length"": 12.485281374238571, ""basal_color_score"": -22.94, ""eccentricity"": 460.51681066681596, ""base_score"": 0.9228061590716498}, {""node"": 675, ""x"": 297.0, ""y"": 388.0, ""local_half_width"": 3.5, ""terminal_edge_length"": 14.313708498984763, ""basal_color_score"": -19.81999938964844, ""eccentricity"": 462.3452377915621, ""base_score"": 0.8703483476827707}]",1,,exact_last_block_cls_attention,0
stagev3_0004,19-19.jpg,gt2,test,17,"{""endpoint"": 5, ""shape_corner"": 10, ""dino_distinctive"": 2}",2,0.031901730743429585,521,0.0012907768838272826,"[{""node"": 0, ""x"": 156.0, ""y"": 30.0, ""local_half_width"": 3.59689998626709, ""terminal_edge_length"": 212.0071426749366, ""basal_color_score"": -54.18000061035156, ""eccentricity"": 419.3624817342643, ""base_score"": 0.5291711968032924}, {""node"": 124, ""x"": 340.0, ""y"": 144.0, ""local_half_width"": 3.198449969291687, ""terminal_edge_length"": 8.242640687119286, ""basal_color_score"": -67.56, ""eccentricity"": 410.4163056034273, ""base_score"": 0.39145624781493876}, {""node"": 136, ""x"": 346.0, ""y"": 149.0, ""local_half_width"": 5.0, ""terminal_edge_length"": 4.82842712474619, ""basal_color_score"": -73.42, ""eccentricity"": 407.4163056034273, ""base_score"": 0.3421025893396929}, {""node"": 197, ""x"": 272.0, ""y"": 178.0, ""local_half_width"": 2.196899890899658, ""terminal_edge_length"": 14.485281374238573, ""basal_color_score"": -54.73999938964844, ""eccentricity"": 226.4924240491755, ""base_score"": 0.29780524837332056}, {""node"": 397, ""x"": 258.0, ""y"": 288.0, ""local_half_width"": 2.0, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -30.60000061035156, ""eccentricity"": 347.7056274847725, ""base_score"": 0.7590280401476618}, {""node"": 401, ""x"": 254.0, ""y"": 290.0, ""local_half_width"": 1.199999988079071, ""terminal_edge_length"": 3.0, ""basal_color_score"": -29.78, ""eccentricity"": 348.2914139223994, ""base_score"": 0.7577372632638345}, {""node"": 520, ""x"": 287.0, ""y"": 387.0, ""local_half_width"": 11.0, ""terminal_edge_length"": 94.38477631085023, ""basal_color_score"": -52.31999938964844, ""eccentricity"": 419.36248173426503, ""base_score"": 0.6939854810802044}]",1,,exact_last_block_cls_attention,0
stagev3_0009,44-44.jpg,gt2,val,16,"{""endpoint"": 7, ""shape_corner"": 9}",4,0.026266752135478005,728,0.07867625437718684,"[{""node"": 0, ""x"": 342.0, ""y"": 7.0, ""local_half_width"": 2.799999952316284, ""terminal_edge_length"": 191.13708498984778, ""basal_color_score"": -59.90000030517578, ""eccentricity"": 470.8772003600258, ""base_score"": 0.37639959392926825}, {""node"": 31, ""x"": 177.0, ""y"": 37.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 183.2964645562817, ""basal_color_score"": 16.04, ""eccentricity"": 462.62236636408664, ""base_score"": 0.7973543179042368}, {""node"": 353, ""x"": 269.0, ""y"": 186.0, ""local_half_width"": 3.196899890899658, ""terminal_edge_length"": 8.0, ""basal_color_score"": -69.20000030517578, ""eccentricity"": 264.91168824543166, ""base_score"": 0.13427192039131908}, {""node"": 364, ""x"": 290.0, ""y"": 196.0, ""local_half_width"": 2.799999952316284, ""terminal_edge_length"": 23.65685424949238, ""basal_color_score"": -24.480000000000004, ""eccentricity"": 433.2914139223992, ""base_score"": 0.5734429504988225}, {""node"": 409, ""x"": 292.0, ""y"": 218.0, ""local_half_width"": 3.198449969291687, ""terminal_edge_length"": 5.414213562373095, ""basal_color_score"": -82.56000030517578, ""eccentricity"": 414.46298679765306, ""base_score"": 0.2420102113377945}, {""node"": 610, ""x"": 286.0, ""y"": 338.0, ""local_half_width"": 6.196899890899658, ""terminal_edge_length"": 24.142135623730955, ""basal_color_score"": -48.15999938964844, ""eccentricity"": 413.39191898578764, ""base_score"": 0.5064612448105352}, {""node"": 688, ""x"": 261.0, ""y"": 391.0, ""local_half_width"": 3.8984498977661133, ""terminal_edge_length"": 5.414213562373095, ""basal_color_score"": -78.60000061035157, ""eccentricity"": 433.7350647362952, ""base_score"": 0.30591287003245915}, {""node"": 727, ""x"": 285.0, ""y"": 422.0, ""local_half_width"": 8.5, ""terminal_edge_length"": 41.970562748477136, ""basal_color_score"": -4.420000000000002, ""eccentricity"": 470.8772003600263, ""base_score"": 0.8760305722814237}]",1,,exact_last_block_cls_attention,0
stagev3_0011,10-10.jpg,leaf1_to_2,test,19,"{""endpoint"": 5, ""shape_corner"": 13, ""dino_distinctive"": 1}",3,0.027846931321834797,624,0.4568509582747524,"[{""node"": 0, ""x"": 304.0, ""y"": 17.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 215.05382386916256, ""basal_color_score"": -53.24999938964844, ""eccentricity"": 416.07821048680273, ""base_score"": 0.4444697764685306}, {""node"": 19, ""x"": 216.0, ""y"": 36.0, ""local_half_width"": 4.498449802398682, ""terminal_edge_length"": 200.02438661763966, ""basal_color_score"": -73.64999938964844, ""eccentricity"": 416.07821048680256, ""base_score"": 0.3354236869934586}, {""node"": 411, ""x"": 201.0, ""y"": 244.0, ""local_half_width"": 3.59689998626709, ""terminal_edge_length"": 81.18376618407352, ""basal_color_score"": -63.91000061035156, ""eccentricity"": 359.3797256769674, ""base_score"": 0.15932065104250626}, {""node"": 587, ""x"": 266.0, ""y"": 354.0, ""local_half_width"": 2.696899890899658, ""terminal_edge_length"": 7.0, ""basal_color_score"": -72.95999938964844, ""eccentricity"": 371.8528137423863, ""base_score"": 0.11110954422297831}, {""node"": 623, ""x"": 267.0, ""y"": 381.0, ""local_half_width"": 6.0, ""terminal_edge_length"": 29.48528137423857, ""basal_color_score"": -11.56, ""eccentricity"": 394.9238815542518, ""base_score"": 0.901320734743283}]",1,,exact_last_block_cls_attention,0
stagev3_0015,27-27.jpg,leaf1_to_2,test,17,"{""endpoint"": 4, ""shape_corner"": 10, ""dino_distinctive"": 3}",2,0.017441600453183465,493,0.06765855394638853,"[{""node"": 0, ""x"": 176.0, ""y"": 16.0, ""local_half_width"": 2.196899890899658, ""terminal_edge_length"": 214.68124086713198, ""basal_color_score"": -41.980000000000004, ""eccentricity"": 355.65180361560925, ""base_score"": 0.6601201862904328}, {""node"": 85, ""x"": 308.0, ""y"": 99.0, ""local_half_width"": 4.498449802398682, ""terminal_edge_length"": 1.4142135623730951, ""basal_color_score"": -73.0, ""eccentricity"": 348.60512242138367, ""base_score"": 0.28559958083679093}, {""node"": 88, ""x"": 314.0, ""y"": 100.0, ""local_half_width"": 3.59689998626709, ""terminal_edge_length"": 6.414213562373095, ""basal_color_score"": -72.03999938964844, ""eccentricity"": 353.01933598375683, ""base_score"": 0.34134697100965905}, {""node"": 342, ""x"": 190.0, ""y"": 242.0, ""local_half_width"": 2.196899890899658, ""terminal_edge_length"": 61.59797974644663, ""basal_color_score"": -48.99999938964844, ""eccentricity"": 344.9360748630716, ""base_score"": 0.35319774001393645}, {""node"": 490, ""x"": 233.0, ""y"": 338.0, ""local_half_width"": 2.196899890899658, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -33.78, ""eccentricity"": 355.65180361560977, ""base_score"": 0.8182991983696467}, {""node"": 492, ""x"": 235.0, ""y"": 339.0, ""local_half_width"": 2.896899938583374, ""terminal_edge_length"": 1.4142135623730951, ""basal_color_score"": -31.399999389648436, ""eccentricity"": 355.23759005323666, ""base_score"": 0.8859577523160352}]",1,,exact_last_block_cls_attention,0
stagev3_0018,32-32.jpg,leaf1_to_2,val,18,"{""endpoint"": 7, ""shape_corner"": 9, ""dino_distinctive"": 2}",3,0.032796171792310785,635,0.03194450177010677,"[{""node"": 0, ""x"": 142.0, ""y"": 0.0, ""local_half_width"": 4.199999809265137, ""terminal_edge_length"": 248.64675298172628, ""basal_color_score"": -39.200000610351566, ""eccentricity"": 445.9015869776657, ""base_score"": 0.7290207546376072}, {""node"": 27, ""x"": 346.0, ""y"": 25.0, ""local_half_width"": 3.59689998626709, ""terminal_edge_length"": 35.14213562373095, ""basal_color_score"": -71.50000061035156, ""eccentricity"": 421.94321753800904, ""base_score"": 0.44906415528463595}, {""node"": 87, ""x"": 347.0, ""y"": 52.0, ""local_half_width"": 3.196899890899658, ""terminal_edge_length"": 9.656854249492381, ""basal_color_score"": -95.49, ""eccentricity"": 396.8721497261435, ""base_score"": 0.19457672260008868}, {""node"": 400, ""x"": 339.0, ""y"": 224.0, ""local_half_width"": 6.0, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -97.42, ""eccentricity"": 362.1025971044429, ""base_score"": 0.20620119440651608}, {""node"": 477, ""x"": 371.0, ""y"": 233.0, ""local_half_width"": 6.0, ""terminal_edge_length"": 35.48528137423857, ""basal_color_score"": -86.53999938964843, ""eccentricity"": 394.7594513539354, ""base_score"": 0.3725152278563044}, {""node"": 575, ""x"": 280.0, ""y"": 315.0, ""local_half_width"": 6.5, ""terminal_edge_length"": 5.414213562373095, ""basal_color_score"": -101.57999969482422, ""eccentricity"": 404.83051916580087, ""base_score"": 0.3268622908437828}, {""node"": 625, ""x"": 260.0, ""y"": 354.0, ""local_half_width"": 3.298449993133545, ""terminal_edge_length"": 10.656854249492381, ""basal_color_score"": -22.430000610351563, ""eccentricity"": 445.7300141024126, ""base_score"": 0.8524259717649528}, {""node"": 634, ""x"": 273.0, ""y"": 360.0, ""local_half_width"": 3.196899890899658, ""terminal_edge_length"": 11.242640687119287, ""basal_color_score"": -26.41999938964844, ""eccentricity"": 445.90158697766645, ""base_score"": 0.8204814699948461}]",1,,exact_last_block_cls_attention,0
stagev3_0019,33-33.jpg,leaf1_to_2,val,17,"{""endpoint"": 9, ""shape_corner"": 4, ""dino_distinctive"": 4}",2,0.016845306420595996,513,0.028263255790103248,"[{""node"": 0, ""x"": 340.0, ""y"": 65.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 218.90663761154838, ""basal_color_score"": -54.140000610351564, ""eccentricity"": 413.29141392239876, ""base_score"": 0.666321663659688}, {""node"": 133, ""x"": 216.0, ""y"": 192.0, ""local_half_width"": 4.0, ""terminal_edge_length"": 43.55634918610403, ""basal_color_score"": -70.21000000000001, ""eccentricity"": 262.46298679765283, ""base_score"": 0.4156149824938433}, {""node"": 222, ""x"": 216.0, ""y"": 238.0, ""local_half_width"": 2.696899890899658, ""terminal_edge_length"": 7.414213562373095, ""basal_color_score"": -79.24, ""eccentricity"": 233.1492782986679, ""base_score"": 0.24411036696487565}, {""node"": 239, ""x"": 182.0, ""y"": 248.0, ""local_half_width"": 2.0, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -60.82000061035156, ""eccentricity"": 363.71782079359235, ""base_score"": 0.5422564913937744}, {""node"": 247, ""x"": 178.0, ""y"": 252.0, ""local_half_width"": 1.0, ""terminal_edge_length"": 2.0, ""basal_color_score"": -65.04000061035157, ""eccentricity"": 362.88939366884614, ""base_score"": 0.4568668972168649}, {""node"": 283, ""x"": 229.0, ""y"": 264.0, ""local_half_width"": 1.7984499335289001, ""terminal_edge_length"": 5.0, ""basal_color_score"": -86.37999938964843, ""eccentricity"": 258.97770542341425, ""base_score"": 0.17710532742954269}, {""node"": 301, ""x"": 228.0, ""y"": 272.0, ""local_half_width"": 2.498449921607971, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -90.58, ""eccentricity"": 266.80613254816046, ""base_score"": 0.1889328304361419}, {""node"": 319, ""x"": 221.0, ""y"": 279.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -92.75999938964844, ""eccentricity"": 270.80613254816046, ""base_score"": 0.20193541992986178}, {""node"": 364, ""x"": 229.0, ""y"": 298.0, ""local_half_width"": 1.399999976158142, ""terminal_edge_length"": 4.0, ""basal_color_score"": -86.06000061035157, ""eccentricity"": 292.3919189857875, ""base_score"": 0.20640528608586653}, {""node"": 438, ""x"": 230.0, ""y"": 365.0, ""local_half_width"": 3.098449945449829, ""terminal_edge_length"": 6.242640687119285, ""basal_color_score"": -86.60000061035156, ""eccentricity"": 366.87720036002645, ""base_score"": 0.38976041746275286}, {""node"": 471, ""x"": 229.0, ""y"": 388.0, ""local_half_width"": 1.7984499335289001, ""terminal_edge_length"": 5.0, ""basal_color_score"": -87.03999938964843, ""eccentricity"": 385.4629867976534, ""base_score"": 0.34723491116721367}, {""node"": 496, ""x"": 230.0, ""y"": 412.0, ""local_half_width"": 3.196899890899658, ""terminal_edge_length"": 6.82842712474619, ""basal_color_score"": -33.5, ""eccentricity"": 413.29141392239956, ""base_score"": 0.893883654232826}, {""node"": 510, ""x"": 217.0, ""y"": 416.0, ""local_half_width"": 2.0, ""terminal_edge_length"": 1.4142135623730951, ""basal_color_score"": -27.30000061035156, ""eccentricity"": 412.29141392239956, ""base_score"": 0.8846750184520698}, {""node"": 512, ""x"": 219.0, ""y"": 417.0, ""local_half_width"": 2.498449921607971, ""terminal_edge_length"": 1.0, ""basal_color_score"": -25.610000610351566, ""eccentricity"": 411.29141392239956, ""base_score"": 0.9221469100229293}]",1,,exact_last_block_cls_attention,0
stagev3_0027,100047(1).png,lt1_needle,val,11,"{""endpoint"": 4, ""shape_corner"": 4, ""dino_distinctive"": 3}",1,0.01372967010032647,385,0.41269687201995775,"[{""node"": 0, ""x"": 250.0, ""y"": 9.0, ""local_half_width"": 3.396899938583374, ""terminal_edge_length"": 160.97056274847714, ""basal_color_score"": -46.31, ""eccentricity"": 386.01219330882, ""base_score"": 0.5737208690440373}, {""node"": 164, ""x"": 263.0, ""y"": 166.0, ""local_half_width"": 2.196899890899658, ""terminal_edge_length"": 6.0, ""basal_color_score"": -65.65999969482422, ""eccentricity"": 230.45584412271583, ""base_score"": 0.05251163007304924}, {""node"": 339, ""x"": 264.0, ""y"": 340.0, ""local_half_width"": 4.0, ""terminal_edge_length"": 2.414213562373095, ""basal_color_score"": -65.98000030517579, ""eccentricity"": 342.35533905932755, ""base_score"": 0.37983755649012063}, {""node"": 384, ""x"": 271.0, ""y"": 383.0, ""local_half_width"": 4.0, ""terminal_edge_length"": 45.48528137423857, ""basal_color_score"": -17.659999389648437, ""eccentricity"": 386.0121933088199, ""base_score"": 0.986417741063995}]",1,,exact_last_block_cls_attention,0
stagev3_0028,100047(2).png,lt1_needle,val,13,"{""endpoint"": 3, ""shape_corner"": 6, ""dino_distinctive"": 4}",1,0.01450485234269018,372,0.3226620795355014,"[{""node"": 0, ""x"": 262.0, ""y"": 0.0, ""local_half_width"": 3.0, ""terminal_edge_length"": 268.69848480983507, ""basal_color_score"": -34.4, ""eccentricity"": 377.3553390593275, ""base_score"": 0.5935933366043397}, {""node"": 262, ""x"": 281.0, ""y"": 260.0, ""local_half_width"": 6.5, ""terminal_edge_length"": 3.414213562373095, ""basal_color_score"": -70.04000030517578, ""eccentricity"": 273.52691193458134, ""base_score"": 0.2}, {""node"": 371, ""x"": 275.0, ""y"": 367.0, ""local_half_width"": 5.0, ""terminal_edge_length"": 106.65685424949238, ""basal_color_score"": -12.989999389648439, ""eccentricity"": 377.35533905932755, ""base_score"": 0.9162554161398411}]",1,,exact_last_block_cls_attention,0
