protocol_version,dataset_id,pilot_group,blind_id,rater_id,measurement_round,measurement_date,gt_leaf_id,leaf_exists,visibility_status,trace_status,basal_transition_status,start_x_px,start_y_px,tip_x_px,tip_y_px,trace_file,length_px,source_dpi,resize_scale,mm_per_output_px,length_mm,shoot_bbox_diag_px,length_bbox_norm,reference_main_path,divergence_point_x_px,divergence_point_y_px,local_interval_px,divergence_angle_deg,total_turning_angle_deg,mean_abs_curvature_mm_inv,occlusion_grade,interpolation_used,confidence,evaluation_only_no_training,notes
phenotype-first-pilot-v1,v4_val_0002,diagnostic,R11_0002,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.3969238402381543,0.10665354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0002,diagnostic,R11_0002,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.3969238402381543,0.10665354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0004,core,R11_0004,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.40414246021722655,0.10474854166666667,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0004,core,R11_0004,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.40414246021722655,0.10474854166666667,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0005,core,R11_0005,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.6324110671936759,0.06693958333333333,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0005,core,R11_0005,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.6324110671936759,0.06693958333333333,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0006,core,R11_0006,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.362400906002265,0.11681354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0006,core,R11_0006,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.362400906002265,0.11681354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0009,core,R11_0009,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.9060022650056625,0.046725416666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0011,core,R11_0011,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.8154943934760448,0.051911250000000006,,,,pending,,,,,,,pending,pending,pending,1,
