dataset_id,split,source_frame_id,acquisition_period,candidate_orientation,crop_width_px,crop_height_px,fullplant_source_crop_width_px,fullplant_source_crop_height_px,standardized_width_px,standardized_height_px,normalization_padding_px,resize_scale,source_dpi,mm_per_output_px,physical_scale_status,shoot_area_px,shoot_bbox_width_px,shoot_bbox_height_px,shoot_fill_ratio,skeleton_pixels,endpoint_count,branchpoint_count,mean_thickness_px,source_relative_path,image_path,mask_path
v4_val_0001,val,src_0347,0515,horizontal,2914,379,3846,545,1616,243,8,0.4160166406656266,600.0,0.10175875,verified_from_tiff_metadata,33769,1124,128,0.23471558051601424,1390,26,67,24.294244604316546,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0001.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0001.png
v4_val_0002,val,src_0347,0515,horizontal,3140,732,4031,1054,1620,438,10,0.3969238402381543,600.0,0.10665354166666666,verified_from_tiff_metadata,30097,999,156,0.19312260978927645,1248,18,59,24.116185897435898,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0002.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0002.png
v4_val_0003,val,src_0347,0515,horizontal,3374,543,4454,781,1616,297,8,0.3592276605298608,600.0,0.11784541666666666,verified_from_tiff_metadata,36937,1084,143,0.23828477795267464,1543,32,79,23.93843162670123,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0003.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0003.png
v4_val_0004,val,src_0347,0515,horizontal,3140,555,3959,799,1616,339,8,0.40414246021722655,600.0,0.10474854166666667,verified_from_tiff_metadata,33588,1089,125,0.24674380165289256,1422,26,80,23.620253164556964,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0004.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0004.png
v4_val_0005,val,src_0347,0515,horizontal,1916,429,2530,617,1620,410,10,0.6324110671936759,600.0,0.06693958333333333,verified_from_tiff_metadata,46952,1138,147,0.2806690338701386,1691,42,107,27.76581904198699,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0005.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0005.png
v4_val_0006,val,src_0347,0515,horizontal,3408,429,4415,617,1616,240,8,0.362400906002265,600.0,0.11681354166666666,verified_from_tiff_metadata,26855,1037,72,0.35967802421515055,1398,37,109,19.209585121602288,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0006.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0006.png
v4_val_0007,val,src_0347,0515,horizontal,2914,479,3801,689,1616,306,8,0.4209418574059458,600.0,0.100568125,verified_from_tiff_metadata,28461,1085,116,0.22613221039249962,1510,32,80,18.84834437086093,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0007.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0007.png
v4_val_0008,val,src_0347,0515,horizontal,3092,593,4082,853,1616,350,8,0.39196472317491426,600.0,0.10800291666666666,verified_from_tiff_metadata,30734,1220,139,0.18123599481070882,1504,23,66,20.434840425531913,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\1.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0008.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0008.png
v4_val_0009,val,src_0546,0516,horizontal,1338,283,1766,407,1618,387,9,0.9060022650056625,600.0,0.046725416666666665,verified_from_tiff_metadata,58637,1138,100,0.5152636203866432,1403,8,35,41.79401282965075,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B3-01-土-0508\0516\100038.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0009.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0009.png
v4_val_0010,val,src_0546,0516,horizontal,1362,379,1798,545,1624,509,12,0.8898776418242491,600.0,0.04757208333333334,verified_from_tiff_metadata,50402,1229,198,0.20712412982551306,1492,15,37,33.78150134048257,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B3-01-土-0508\0516\100038.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0010.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0010.png
