dataset_id,pilot_group,selection_basis,selection_reason,source_frame_id,acquisition_period,candidate_orientation,visible_leaf_count_postlock,source_dpi,resize_scale,mm_per_output_px,physical_scale_status,shoot_area_px,shoot_bbox_width_px,shoot_bbox_height_px,shoot_fill_ratio,skeleton_pixels,endpoint_count,branchpoint_count,mean_thickness_px,image_path
v4_val_0004,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0347,0515,horizontal,2,600.0,0.40414246021722655,0.10474854166666667,verified_from_tiff_metadata,33588,1089,125,0.24674380165289256,1422,26,80,23.620253164556964,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0004.png
v4_val_0005,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0347,0515,horizontal,2,600.0,0.6324110671936759,0.06693958333333333,verified_from_tiff_metadata,46952,1138,147,0.2806690338701386,1691,42,107,27.76581904198699,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0005.png
v4_val_0006,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0347,0515,horizontal,2,600.0,0.362400906002265,0.11681354166666666,verified_from_tiff_metadata,26855,1037,72,0.35967802421515055,1398,37,109,19.209585121602288,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0006.png
v4_val_0009,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0546,0516,horizontal,1,600.0,0.9060022650056625,0.046725416666666665,verified_from_tiff_metadata,58637,1138,100,0.5152636203866432,1403,8,35,41.79401282965075,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0009.png
v4_val_0011,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0546,0516,horizontal,2,600.0,0.8154943934760448,0.051911250000000006,verified_from_tiff_metadata,42915,1120,139,0.2756616135662898,1523,23,68,28.177938279711096,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0011.png
v4_val_0016,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0615,9.14-5.12,vertical,2,600.0,0.4935225169648365,0.08577791666666666,verified_from_tiff_metadata,52653,365,1245,0.11586730483578148,2187,40,129,24.07544581618656,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0016.png
v4_val_0020,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0615,9.14-5.12,horizontal,3,600.0,0.4554511813265016,0.09294812499999999,verified_from_tiff_metadata,49312,1166,303,0.1395762217731207,2566,71,227,19.21745908028059,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0020.png
v4_val_0027,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0565,0510,horizontal,2,600.0,0.3902439024390244,0.10847916666666665,verified_from_tiff_metadata,33526,1148,161,0.1813902655441816,2208,81,206,15.183876811594203,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0027.png
v4_val_0028,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0565,0510,vertical,2,600.0,0.7831620166421929,0.054054374999999995,verified_from_tiff_metadata,47175,99,1291,0.36910546205666267,2841,94,349,16.60506863780359,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0028.png
v4_val_0030,core,acquisition+original_morphology_only,source-frame quota plus robust morphology medoid/farthest sampling,src_0349,0515,horizontal,2,600.0,0.40261701056869653,0.10514541666666666,verified_from_tiff_metadata,38469,1166,106,0.31124793682643453,1554,24,74,24.754826254826256,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0030.png
