dataset_id,stage_label,split,identity_candidate_count,accepted_count,rejected_count,training_usable,median_confidence,median_presence,median_localization_error,safety_cap_hit
stagev3_0001,gt2,train,16,8,8,1,0.6882131281248755,0.9444444444444444,0.003551862873194268,0
stagev3_0005,gt2,train,17,8,9,1,0.7702365323989508,1.0,0.0029199052346764965,0
stagev3_0006,gt2,train,16,10,6,1,0.7137661678238791,1.0,0.003947536615494293,0
stagev3_0007,gt2,train,18,12,6,1,0.6273627982316189,1.0,0.006594743631896822,0
stagev3_0008,gt2,train,20,12,8,1,0.5417087789526565,0.8888888888888888,0.004108617124863155,0
stagev3_0010,gt2,train,14,10,4,1,0.565495622890128,1.0,0.003239583711458946,0
stagev3_0012,leaf1_to_2,train,21,12,9,1,0.6545263513047987,0.9444444444444444,0.0032079966464758315,0
stagev3_0013,leaf1_to_2,train,17,10,7,1,0.6280205919949721,0.9444444444444444,0.003892706548297368,0
stagev3_0014,leaf1_to_2,train,22,11,11,1,0.5782733648760108,1.0,0.004120745056751153,0
stagev3_0016,leaf1_to_2,train,13,9,4,1,0.6570604211723332,1.0,0.003033913471973873,0
stagev3_0017,leaf1_to_2,train,15,9,6,1,0.5356413403286782,1.0,0.005286826925837467,0
stagev3_0020,leaf1_to_2,train,23,14,9,1,0.5477451707422706,0.9444444444444444,0.002439735074593972,0
stagev3_0021,lt1_needle,train,15,9,6,1,0.5367761840023363,0.8888888888888888,0.004668219007404554,0
stagev3_0022,lt1_needle,train,20,10,10,1,0.5572374710000889,0.8888888888888888,0.004229585798587104,0
stagev3_0023,lt1_needle,train,15,7,8,1,0.5898671061696147,0.8888888888888888,0.004660308703805687,0
stagev3_0024,lt1_needle,train,19,9,10,1,0.594171449923457,0.8888888888888888,0.005405054871705061,0
stagev3_0025,lt1_needle,train,17,11,6,1,0.5661570742975768,0.8888888888888888,0.0026078772349701395,0
stagev3_0026,lt1_needle,train,13,8,5,1,0.563079330086558,0.9444444444444444,0.0038034258213818705,0
stagev3_0029,lt1_needle,train,13,7,6,1,0.5039493474432506,1.0,0.008893353391580353,0
stagev3_0031,gt2,auxiliary,13,8,5,1,0.5278699042152715,0.8888888888888888,0.005233525118939868,0
stagev3_0032,gt2,auxiliary,15,8,7,1,0.46228497301254606,0.8888888888888888,0.0034840902812220023,0
stagev3_0033,gt2,auxiliary,20,9,11,1,0.482326780128101,0.8888888888888888,0.005107132490297427,0
stagev3_0034,gt2,auxiliary,14,11,3,1,0.4638972588862705,1.0,0.00676631908628896,0
stagev3_0035,gt2,auxiliary,12,9,3,1,0.6510274902785438,1.0,0.004090773920607805,0
stagev3_0036,gt2,auxiliary,18,8,10,1,0.79788851145888,1.0,0.0023595681771860283,0
stagev3_0037,gt2,auxiliary,16,7,9,1,0.7319030275990123,0.8888888888888888,0.0029818816853732274,0
stagev3_0038,gt2,auxiliary,15,8,7,1,0.7777005287904792,1.0,0.004352612916373782,0
stagev3_0039,gt2,auxiliary,18,10,8,1,0.49561064427433915,0.8888888888888888,0.007024120947221588,0
stagev3_0040,unknown,auxiliary,22,15,7,1,0.5237608019714547,0.8888888888888888,0.006190501270905024,0
stagev3_0041,gt2,auxiliary,16,6,10,1,0.5324687936727172,0.9444444444444444,0.0033897953880495093,0
stagev3_0042,gt2,auxiliary,14,8,6,1,0.6932569396854971,1.0,0.003576054181418252,0
