dataset_id,stage_label,split,identity_candidate_count,accepted_count,rejected_count,training_usable,median_confidence,median_presence,median_localization_error,safety_cap_hit,identity_endpoint_count,basal_transition_candidate_added,input_domain,shoot_retention_ratio,root_base_overlap_ratio,green_shoot_retention_ratio,seed_detected,roi_localization_source,retention_repair_used
v4_legacy_0001,gt2,train,19,8,11,1,0.8532835682332212,1.0,0.002916379336884053,0,8,1,phenotype_roi_v1,0.9604405655703342,0.0015128593040847202,0.9682228915662651,True,estimated_seed,False
v4_legacy_0002,gt2,train,21,16,5,1,0.741607350150714,0.9444444444444444,0.0020736706589826763,0,21,1,phenotype_roi_v1,0.9253586392519215,0.0,0.9407915100596949,True,estimated_seed,False
v4_legacy_0003,gt2,train,23,11,12,1,0.7057404102646059,1.0,0.005533663859551418,0,7,1,phenotype_roi_v1,0.9957172256521497,0.0,0.9961215866809611,True,estimated_seed,False
v4_legacy_0004,gt2,train,18,11,7,1,0.7202775844619531,0.8888888888888888,0.0018441907414099463,0,7,1,phenotype_roi_v1,0.8815470044925635,0.00035124692658939234,0.9155412353465414,True,estimated_seed,False
v4_legacy_0005,gt2,train,18,11,7,1,0.7716024904973182,1.0,0.005299944387367146,0,11,1,phenotype_roi_v1,0.8912141605974002,0.1282051282051282,0.90373622732168,True,estimated_seed,False
v4_legacy_0006,gt2,train,19,13,6,1,0.748542654371223,1.0,0.003996312735373226,0,15,1,phenotype_roi_v1,0.9490283039206628,0.0,0.9934564856294358,True,estimated_seed,True
v4_legacy_0007,gt2,train,22,16,6,1,0.6360913233187846,1.0,0.0029719366763020587,0,8,1,phenotype_roi_v1,0.9911040297417513,0.0,0.9931253885252496,True,estimated_seed,False
v4_legacy_0008,gt2,train,21,15,6,1,0.6687411916063059,0.8888888888888888,0.003568848570882588,0,16,1,phenotype_roi_v1,0.8892169049098819,0.0012494793835901709,0.9141030344321577,True,estimated_seed,False
v4_legacy_0009,gt2,train,24,12,12,1,0.8271561171116804,1.0,0.002124589747333474,0,15,1,phenotype_roi_v1,0.9199876309381161,0.00375,0.9589750398300584,True,estimated_seed,False
v4_legacy_0010,gt2,train,17,14,3,1,0.7520689828095244,1.0,0.002165498751331536,0,13,1,phenotype_roi_v1,0.9802506433926373,0.0,1.0,True,estimated_seed,True
v4_legacy_0011,leaf1_to_2,train,23,16,7,1,0.5440948277924196,0.9444444444444444,0.0034344238525190747,0,7,1,phenotype_roi_v1,0.9974345612698922,0.00030950170225936243,1.0,True,estimated_seed,False
