dataset_id,split,new_split_role,source_frame_id,source_path,source_name,source_relative_path,split_group,acquisition_period,campaign,candidate_index,candidate_orientation,candidate_box_thumbnail,crop_box_full,keypoint_labels_used,model_outputs_used_for_selection,quality_tier,data_role,stage_label,stage_label_source,manual_quality_review,manual_stage_review,manual_note,source_recovery_status
v4_legacy_0001,train,legacy_v3_development,,D:\kp\数据集图片\images\leaf3 (117).jpg,leaf3 (117).jpg,images\train\stagev3_0001.png,legacy_v3::stage_archive::gt2::scanner_crop::leaf3 ,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0002,train,legacy_v3_development,,D:\kp\数据集图片\images\1.jpg,1.jpg,images\test\stagev3_0002.png,legacy_v3::stage_archive::gt2::single::1,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0003,train,legacy_v3_development,,D:\kp\数据集图片\images\18-18.jpg,18-18.jpg,images\test\stagev3_0003.png,legacy_v3::stage_archive::gt2::single::18-18,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0004,train,legacy_v3_development,,D:\kp\数据集图片\images\19-19.jpg,19-19.jpg,images\test\stagev3_0004.png,legacy_v3::stage_archive::gt2::single::19-19,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0005,train,legacy_v3_development,,D:\kp\数据集图片\images\28.jpg,28.jpg,images\train\stagev3_0005.png,legacy_v3::stage_archive::gt2::single::28,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0006,train,legacy_v3_development,,D:\kp\数据集图片\images\35.jpg,35.jpg,images\train\stagev3_0006.png,legacy_v3::stage_archive::gt2::single::35,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0007,train,legacy_v3_development,,D:\kp\数据集图片\images\39-39.jpg,39-39.jpg,images\train\stagev3_0007.png,legacy_v3::stage_archive::gt2::single::39-39,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0008,train,legacy_v3_development,,D:\kp\数据集图片\images\42-42.jpg,42-42.jpg,images\train\stagev3_0008.png,legacy_v3::stage_archive::gt2::single::42-42,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0009,train,legacy_v3_development,,D:\kp\数据集图片\images\44-44.jpg,44-44.jpg,images\val\stagev3_0009.png,legacy_v3::stage_archive::gt2::single::44-44,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0010,train,legacy_v3_development,,D:\kp\数据集图片\images\Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,images\train\stagev3_0010.png,legacy_v3::stage_archive::gt2::single::Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879,legacy_v3,legacy_v3,,legacy,,,0,0,B_mixed_background_standardized,legacy_v3_development_train_only,gt2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
v4_legacy_0011,train,legacy_v3_development,,D:\kp\数据集图片\images\10-10.jpg,10-10.jpg,images\test\stagev3_0011.png,legacy_v3::stage_archive::leaf1_to_2::single::10-10,legacy_v3,legacy_v3,,legacy,,,0,0,A_native_white_standardized,legacy_v3_development_train_only,leaf1_to_2,archive_folder,legacy_v3_previously_reviewed,legacy_v3_metadata_status_preserved,V3 val/test were previously viewed and are therefore training/development only in V4,original_source_remapped_after_cleanup
