reference_index,x_model,y_model,kind,coverage_roles,observed_coverage_roles,teacher_score,presence_ratio,localization_error_bbox_diag,consensus_confidence,observed_transforms,accepted
0,310.0,245.0,endpoint,[],[],0.943856115681285,0.7777777777777778,0.004393832239611147,0.61579001263233,"['identity', 'flip_horizontal', 'brightness_075', 'scale_090', 'scale_110', 'translate', 'contrast_125']",1
1,348.0,249.0,endpoint,[],[],0.9967402205548997,0.4444444444444444,0.0,0.4429956535799554,"['identity', 'flip_horizontal', 'brightness_075', 'contrast_125']",0
2,415.0,256.0,endpoint,[],[],0.9938297469983629,1.0,0.0057229638888631855,0.7904855332682054,"['identity', 'flip_horizontal', 'rotate_10', 'brightness_075', 'rotate_minus10', 'scale_090', 'scale_110', 'translate', 'contrast_125']",1
3,291.0,246.0,endpoint,[],[],0.9412775620159132,0.7777777777777778,0.0019523095438260165,0.6771083138329114,"['identity', 'flip_horizontal', 'rotate_10', 'brightness_075', 'scale_110', 'translate', 'contrast_125']",1
4,84.0,270.0,endpoint,[],[],0.9886447873575894,1.0,0.007019746048395108,0.7466117181667553,"['identity', 'flip_horizontal', 'rotate_10', 'brightness_075', 'rotate_minus10', 'scale_090', 'scale_110', 'translate', 'contrast_125']",1
5,248.0,243.0,shape_corner,[],[],0.860231538132135,0.8888888888888888,0.012300410401474579,0.4675013010326426,"['identity', 'rotate_10', 'brightness_075', 'rotate_minus10', 'scale_090', 'scale_110', 'translate', 'contrast_125']",1
6,255.0,259.0,shape_corner,[],[],0.6359654992885646,0.4444444444444444,0.0011607878848124739,0.26982742388849046,"['identity', 'rotate_10', 'scale_090', 'contrast_125']",0
7,204.0,248.0,shape_corner,[],[],0.6311758811449634,0.6666666666666666,0.022503722637026737,0.1710525029373615,"['identity', 'flip_horizontal', 'rotate_10', 'scale_090', 'translate', 'contrast_125']",0
8,277.0,257.0,shape_corner,[],[],0.6344118008216214,0.6666666666666666,0.0005698413252715827,0.4134098652176101,"['identity', 'brightness_075', 'scale_090', 'scale_110', 'translate', 'contrast_125']",0
9,104.0,262.0,shape_corner,[],[],0.6315918601230088,0.6666666666666666,0.0,0.42106124008200585,"['identity', 'flip_horizontal', 'rotate_10', 'brightness_075', 'scale_090', 'contrast_125']",0
10,122.0,258.0,shape_corner,[],[],0.6315948609341452,0.7777777777777778,0.008781573860398968,0.34573436986833744,"['identity', 'flip_horizontal', 'brightness_075', 'rotate_minus10', 'scale_090', 'translate', 'contrast_125']",0
11,223.0,261.0,shape_corner,[],[],0.6314147225903757,0.7777777777777778,0.0026021213922532626,0.4425544949327264,"['identity', 'rotate_10', 'brightness_075', 'rotate_minus10', 'scale_090', 'translate', 'contrast_125']",1
12,131.0,273.0,shape_corner,[],[],0.631037188698708,0.6666666666666666,0.00885446957129214,0.2952200191500131,"['identity', 'brightness_075', 'scale_090', 'scale_110', 'translate', 'contrast_125']",0
13,147.0,261.0,dino_distinctive,[],[],0.6225324937230796,0.7777777777777778,0.010927223414297502,0.3127463444519535,"['identity', 'flip_horizontal', 'rotate_10', 'brightness_075', 'scale_090', 'translate', 'contrast_125']",0
14,181.0,257.0,dino_distinctive,[],[],0.6245248892155195,0.8888888888888888,0.027875348879989322,0.182034129194643,"['identity', 'flip_horizontal', 'rotate_10', 'brightness_075', 'rotate_minus10', 'scale_090', 'scale_110', 'contrast_125']",0
15,327.0,249.0,dino_distinctive,[],[],0.6198773586244202,0.3333333333333333,0.004969465261722997,0.16937763533140032,"['identity', 'scale_090', 'contrast_125']",0
